"Hashtag","Frequency"
"Trumpcare",160
"TrumpTax",60
"GOPTaxScam",55
"NetNeutrality",54
"ABetterDeal",34
"DeVos",24
"healthcare",24
"Medicaid",24
"ProtectOurCare",24
"GOPTaxBill",23
"Dreamers",18
"TaxReform",18
"DACA",17
"Gorsuch",15
"JointSession",15
"SCOTUS",15
"ACA",14
"BroadbandPrivacy",14
"Medicare",14
"NoBanNoWall",14
"GetCovered",13
"ClimateFacts",12
"DreamAct",12
"GOPTaxPlan",12
"DeVosFacts",11
"MuslimBan",11
"PuertoRico",11
"SOTU",11
"SaveNetNeutrality",10
"TrumpBudget",10
"AmericaSpeaksOut",9
"DREAMers",9
"netneutrality",9
"ParisAgreement",9
"SaveTPS",9
"Sessions",9
"DefendDACA",8
"DreamActNow",8
"GrahamCassidy",8
"JointAddress",8
"RiggedCabinet",8
"BrokenPromises",7
"climatechange",7
"DefendOurDemocracy",7
"GoBills",7
"infrastructure",7
"Mulvaney",7
"NationalParkWeek",7
"PriceIsWrong",7
"ProtectDreamers",7
"ProtectDREAMers",7
"Pruitt",7
"taxreform",7
"AHCA",6
"Mnuchin",6
"MTP",6
"OMBnom",6
"Russia",6
"TrumpCare",6
"100days",5
"alternativefacts",5
"BatteryPark",5
"BrokenPromise",5
"BuyAmerica",5
"ClimateChange",5
"DyngusDay",5
"FindYourPark",5
"LULAC17",5
"ROC",5
"ShowUsTheBill",5
"SocialSecurity",5
"StopGorsuch",5
"SwampCabinet",5
"Trump100days",5
"Trump100Days",5
"TrumpShutdown",5
"WeAreAllDreamers",5
"ACAworks",4
"BlocktheBots",4
"broadbandprivacy",4
"CBOscore",4
"CNNSOTU",4
"EqualPayDay",4
"ExtendCHIP",4
"HereToStay",4
"LetLizSpeak",4
"MadeinUSA",4
"MuslimBan2",4
"NotOnePenny",4
"NunesMemo",4
"ourNY",4
"ParisClimateAgreement",4
"PollutingPruitt",4
"preexistingconditions",4
"RejectPruitt",4
"SaveRetirement",4
"SkinnyRepeal",4
"TrumpTolls",4
"Zinke",4
"Classof2017",3
"ComeyHearing",3
"Devos",3
"DREAMer",3
"EndtheAssaultonFamilies",3
"EqualityAct",3
"GOPtaxplan",3
"governmentshutdown",3
"gunviolence",3
"healthcarebill",3
"HealthcareBill",3
"HoldTheFloor",3
"Irma",3
"JobsReport",3
"Jointsession",3
"MarchMadness",3
"MLKDay",3
"openinternet",3
"ProtectCPP",3
"Sandy5",3
"SCOTUSnominee",3
"ShamVotingCommission",3
"StandWithBearsEars",3
"StatenIsland",3
"ThanksObama",3
"TrumpsBrokenPromises",3
"UnMejorTrato",3
"VoteNoAHCA",3
"242NavyBday",2
"ActonClimate",2
"BearsEars",2
"BingItHome",2
"BlackHistoryMonth",2
"BlackWomensEqualPay",2
"BreakingNews",2
"Buffalo",2
"BuildBridgesNotWalls",2
"CareForVets",2
"CBOScore",2
"ccnygrad17",2
"CleanPowerPlan",2
"ClimateAction",2
"climatefacts",2
"Comey",2
"CongressionalBaseballGame",2
"defendDACA",2
"DREAMAct",2
"EndTheAssaultOnFamilies",2
"Exxon",2
"ForeclosureKing",2
"FundFamiliesNotWalls",2
"GCFest",2
"GOP",2
"HappyBirthdayMarines",2
"Harvey",2
"health",2
"HurricaneHarvey",2
"HurricaneIrma2017",2
"ImmigrantRights",2
"Infrastructure",2
"IStandWithPP",2
"keepitpublic",2
"LGBTQ",2
"LLWS",2
"MadeinNY",2
"MakeAmericaSickAgain",2
"MayDay2017",2
"MealsonWheels",2
"MuslimJewish",2
"NetNeutality",2
"NeverForget",2
"News12",2
"NoDeVos",2
"NoHearingNoVote",2
"NuclearOption",2
"NYPD",2
"NYS",2
"OpenInternet",2
"Oscars",2
"pardonoursnow",2
"PoliceWeek",2
"PriceisWrong",2
"PromesasRotas",2
"publiclands",2
"raisethewage",2
"RaisetheWage",2
"RaiseTheWage",2
"ReadtheBill",2
"RebuildandRepair",2
"RejectMnuchin",2
"Resist",2
"RulesatRisk",2
"SallyYates",2
"SaveDACA",2
"SaveOurCare",2
"SemperFi",2
"September11",2
"SmallBusiness",2
"SmallBusinessWeek",2
"StellaBlizzard",2
"STEM",2
"StPatricksDay",2
"TaxDay",2
"ThisWeek",2
"TipTheft",2
"TPS",2
"Trumpcuts",2
"VoteNo",2
"VoteNoACHA",2
"WaronSeniors",2
"wealthfare",2
"wearorange",2
"WRD2017",2
"100daysofshame",1
"100díasdeTrump",1
"1moreround",1
"1MoreRound",1
"1u",1
"20PercentCounts",1
"3Dprinting",1
"60votes",1
"ActOnClimate",1
"ADAPTandRESIST",1
"alternatefacts",1
"AlternativeFacts",1
"AmericaFirst",1
"AmericanDreamer",1
"AmericanDreamers",1
"AntiquitiesAct",1
"AprilFools",1
"ArcticRefuge",1
"artmatters",1
"asylum",1
"AYearOfTrump",1
"Back2School",1
"Barcelona",1
"BaysideLL",1
"BCGrad2017",1
"BCRA",1
"BelmontStakes",1
"BetsyDeVos",1
"BigDance",1
"BikeShare",1
"Billieve",1
"BillsMafia",1
"bingithome",1
"BKGrad2017",1
"boilermaker15k",1
"Boilermaker15K",1
"bombcyclone",1
"BostonMarathon",1
"Broadbandprivacy",1
"brokenpromises",1
"BrooklynCollege",1
"Budget",1
"buffalove",1
"Buffalove",1
"BuffaLove",1
"BUFvsJAX",1
"CambioClimatico",1
"CapChallenge",1
"Carrier",1
"CBO",1
"cboscore",1
"CCIChallenge",1
"CGKfamily",1
"Charlottesville",1
"checkandbalance",1
"checksandbalances",1
"China",1
"CHIPworks",1
"cleanair",1
"CleanWater",1
"CleanWaterAct",1
"clerkwillcalltheroll",1
"Climatechange",1
"climatemarch",1
"ClimateMarch",1
"ContinuingResolution",1
"CorettaScottKing",1
"CornellCALS",1
"CornHillArtFest",1
"CraftBeer",1
"DACAmented",1
"DayWithoutImmigrants",1
"DC",1
"DDay",1
"DefendCFPB",1
"DefenderDACA",1
"DefendScience",1
"DiaSinImmigrantes",1
"draintheswamp",1
"DraintheSwamp",1
"DrainTheSwamp",1
"DREAMActNOW",1
"Dreamer",1
"DREAMER",1
"drilling",1
"DrugCourtMonth",1
"drvc",1
"DTS",1
"DumpDeVos",1
"earlyeducation",1
"EarthDay",1
"earthday2017",1
"EarthDay2017",1
"EDDay",1
"EidMubarak",1
"ElectionDay",1
"EncuentraTuParque",1
"EndGunViolence",1
"EO",1
"EPA",1
"equaleverywhere",1
"Equifax",1
"EstateTax",1
"executiveorders",1
"EyesOnChechnya",1
"FacebookLive",1
"FakeNews",1
"FBIDirector",1
"FF",1
"flood",1
"FloodSafety",1
"FLX",1
"FlynnResignation",1
"FollowtheMoney",1
"FollowTheMoney",1
"foreclosureking",1
"FourthofJuly2017",1
"FreeDaniel",1
"FridayFeeling",1
"FridayRead",1
"Gateway",1
"getcovered",1
"GiantsPride",1
"GlobalCitizens",1
"GOES16",1
"GoGreatDanes",1
"GOPbudget",1
"GOPrepeal",1
"GOPtaxbill",1
"GrahamCasiddy",1
"GreatLakes",1
"Haiti",1
"Hamilton",1
"HandsOff",1
"HappyHanukkah",1
"happynewyear",1
"HappyPride2017",1
"HeretoStay",1
"Hoffa",1
"HofGrad17",1
"HonorThemWithAction",1
"HonorTribes",1
"HoopsBuf",1
"HoopsBUF",1
"HotTopics",1
"humantrafficking",1
"HurricaneIrma",1
"ICERaids",1
"ICYMI",1
"IDAHOT",1
"ILoveNewYork",1
"immigrantrights",1
"immigrants",1
"immigration",1
"Immigration",1
"InnerLoop",1
"innovation",1
"iPhone9",1
"IranProtest",1
"JDRFCC17",1
"Journalism",1
"july4",1
"KeepingPromises",1
"KeepItPublic",1
"KeepKidsCovered",1
"KeepUsCovered",1
"KIDSAct",1
"LaborDay",1
"laborday2017",1
"LasVegas",1
"LCVScorecard",1
"LetsGoBuffalo",1
"LetUsLive",1
"LGBT",1
"LGM",1
"LI",1
"Liberty",1
"LIVE",1
"LongIsland",1
"Lovetrumpshate",1
"LoveTrumpsHate",1
"LUMA",1
"Maddow",1
"MadeinAmerica",1
"MadeInAmericaWeek",1
"MarchForScience",1
"Maria",1
"MayDay",1
"McConnell",1
"MealsOnWheels",1
"MedicaidDSH",1
"medicare",1
"MeetTheMets",1
"MeltingPot",1
"MerylStreep",1
"Middleclass",1
"Midtown",1
"MilFams",1
"MondayMotivation",1
"MonumentsforAll",1
"MonumentsForAll",1
"museumsnowballfight",1
"muslimban",1
"NAFTA",1
"NationalBirdDay",1
"nationalparks",1
"NationalTeachersDay",1
"NationalWorldWarIIMemorial",1
"nazdrowie",1
"NeverAgain",1
"newburgh",1
"NIH",1
"NNY",1
"NoAbortionBan",1
"NoAgeTax",1
"NoOnDeVos",1
"nothingaboutuswithoutus",1
"NotOneMore",1
"NYbiz",1
"NYC",1
"nymade",1
"NYPDProtecting",1
"NYTech",1
"OAA",1
"offthesidelines",1
"Olympics2018",1
"omnibus",1
"opioids",1
"OrlandoUnitedDay",1
"OTD",1
"OurFirstStand",1
"OurImpact",1
"Pakistan",1
"PalmSunday",1
"passbutchlewisact",1
"PayGap",1
"PearlHarbor",1
"PearlHarborDay",1
"pensions",1
"Periscope",1
"pfos",1
"PiDay",1
"PinstripePride",1
"pollutingPruitt",1
"PortAransas",1
"PriceHearing",1
"pride",1
"Pride",1
"Pride2017",1
"promesasrotas",1
"prospectparksoiree",1
"ProtectNetNeutrality",1
"protectourcare",1
"ProtecttheArctic",1
"ProtectTheArctic",1
"prwx",1
"publictransit",1
"PugetSound",1
"PulseNightclub",1
"Putin",1
"Puzder",1
"recklessrelease",1
"refugees",1
"releasethetruth",1
"ReleasetheTruth",1
"Rememberthe49",1
"RememberThe49",1
"RemoveNunes",1
"RepealandDelay",1
"RepealandRun",1
"RepealAndRun",1
"resist",1
"RESIST",1
"RESISTANCE",1
"ResistRepeal",1
"restinpower",1
"ripoffclause",1
"rockland",1
"Rockport",1
"RoevWade",1
"RoshHashanah",1
"RussiaReport",1
"s",1
"Sandy",1
"SaveGrandStaircase",1
"saveheathcare",1
"SaveMyCare",1
"SavePensions",1
"SaveTheElephants",1
"SBDCDay",1
"Schenectady",1
"ScienceNotSilence",1
"SDXAwards",1
"SecDef",1
"SecretSanta",1
"SenateDems",1
"Seniors",1
"Sequester",1
"ShamVoterCommission",1
"shamvotingcommission",1
"ShopSmall",1
"SiemensComp",1
"SiSePuede",1
"sleepapnea",1
"SmallBiz",1
"SmallBizSat",1
"SNAP",1
"SoCalFires",1
"SocSec82",1
"SolarEclipse2017",1
"SpecialEducation",1
"Stella",1
"StopChildAbuse",1
"stopdevos",1
"StopGunViolence",1
"stopsessions",1
"StopSessions",1
"StopTheFCC",1
"studentdebt",1
"SundayMorning",1
"SUNYFarmingdale",1
"SuperBowl",1
"swampcabinet",1
"Syracuse",1
"Tapwrit",1
"taxbill",1
"taxday",1
"TaxFairness",1
"taxplan",1
"TBT",1
"TCSNYCmarathon",1
"TCSNYCMarathon",1
"TDOV",1
"Teamsters",1
"TeamUSA",1
"ThomasFire",1
"ThursdayThoughts",1
"Tillerson",1
"TitleX",1
"transgender",1
"Transrights",1
"Trump",1
"Trumpbudget",1
"trumpcuts",1
"TrumpPremiumTax",1
"TrumpShudown",1
"TuesdayThoughts",1
"TurnHateIntoLove",1
"txwx",1
"ubclassof2017",1
"ubuffalo",1
