"Hashtag","Frequency"
"StPaddysDay",1
"StPatricksDay",1
"strongerwithallies",1
"StudentDebt",1
"Supercar",1
"SurvivorsLead",1
"Sweet16",1
"SyriaStrikes",1
"TaxCutsandJobsAct",1
"TaxDay",1
"TaxReform17",1
"TechSMEsTrade",1
"Texas",1
"ThankYou",1
"TheWordsThatBuiltAmerica",1
"ThomeHOF",1
"TimesUp",1
"totality",1
"TransformingLives",1
"Transportation",1
"TribeOpener",1
"ukraine",1
"USITC",1
"USPS",1
"VeteransDay",1
"VoteARama",1
"VoteCozart",1
"VoteJRam",1
"VoteLindor",1
"VoteVotto",1
"WeRemember",1
"WhoDey",1
"worldpressfreedomday",1
"WWWWWWWWWWWWWWWWWWWWindians",1
"WWWWWWWWWWWWWWWWWWWWWindians",1
"WWWWWWWWWWWWWWWWWWWWWWindians",1
"YomKippur",1
