"Hashtag","Frequency"
"Alaska",263
"IranDeal",61
"NDAA",43
"Obamacare",37
"NorthKorea",34
"Arctic",31
"veterans",29
"SOTU",27
"AK",26
"EPA",25
"WOTUS",25
"BadIranDeal",24
"Iran",23
"SCOTUS",18
"ANWR",17
"AKConquersOpioids",16
"KeystoneXL",16
"FundOurTroops",15
"ObamaAK",14
"RegulationNation",14
"SouthChinaSea",14
"VA",14
"Senate",13
"akleg",11
"Fairbanks",10
"1002Area",9
"HJRes69",9
"ISIS",9
"Mattis",9
"SecDef",9
"Syria",9
"Iditarod",8
"ObamaEconomy",8
"SECDEF",8
"Shell",8
"EndDV",7
"Olympics",7
"Marines",6
"Veterans",6
"Army",5
"DVAM2015",5
"ICYMI",5
"JohnGlenn",5
"Kodiak",5
"ACA",4
"CARA",4
"ClayHunt",4
"ForeverGIBill",4
"Gitmo",4
"Iditarod2015",4
"Kenai",4
"PEOTUS",4
"Russia",4
"SemperFi",4
"SENA15",4
"Sitka",4
"SockeyeFire",4
"VAAccountability",4
"VeteransChoiceAct",4
"CardStreetFire",3
"CHOW2017",3
"Christmas",3
"DHS",3
"Juneau",3
"Ketchikan",3
"MLKDay",3
"MSA40",3
"NeverForget",3
"ObamaCare",3
"Omnibus",3
"POTUSAK",3
"tbt",3
"USAFreedomAct",3
"USFWS",3
"VeteransDay",3
"VeteransFirst",3
"vets",3
"Vets",3
"1002area",2
"2015AFN",2
"2016AFN",2
"AFBday",2
"AFBDAY2015",2
"ag",2
"AlaskaDVAM",2
"AlaskaPurchase",2
"Anchorage",2
"ArmedForcesDay",2
"ArmyBDay",2
"Bethel",2
"BrusselsAttacks",2
"BudgetDeal",2
"Capitol",2
"Chattanooga",2
"Clinton",2
"ConstitutionDay",2
"cyberattacks",2
"DallasPoliceShooting",2
"DC",2
"DDay",2
"doppelganger",2
"DRIVEAct",2
"ENDALZ",2
"endDV",2
"Frankenfish",2
"FreeAmirNow",2
"FundOurVets",2
"Gorsuch",2
"Hanukkah",2
"happytaxday",2
"humantrafficking",2
"HurricaneHarvey",2
"infrastructure",2
"Kotzebue",2
"MemorialDay",2
"NationalBeerDay",2
"NationalPoliceWeek",2
"NetNeutrality",2
"NHL",2
"Obama",2
"obamaeconomy",2
"OnlyinAlaska",2
"Passover",2
"POTUS",2
"RallyforourTroops",2
"regulation",2
"SASC",2
"SenateOpportunityCoalition",2
"Spain",2
"TalkofAK",2
"TBT",2
"Thanksgiving",2
"thisisOURalaska",2
"TurnTheTide",2
"Vote4Vets1st",2
"18th",1
"2017Austria",1
"22Pushups",1
"2A",1
"907goblue",1
"Accountable2Veterans",1
"AFN2015",1
"AgDay2016",1
"AKLNG",1
"aknextgenfishtour",1
"akrdc2015",1
"aksen",1
"AKSen",1
"aktough",1
"AKWeatherDelays",1
"ALADC",1
"alaska",1
"AlaskaIsTheBestState",1
"Alaskaproblem",1
"AlaskasFuture",1
"alzforum",1
"APeoplesJourney",1
"ArcticAnvil",1
"ArcticMan2015",1
"ArcticWarriors",1
"ArmyNavy",1
"AshCarter",1
"AWG2016",1
"BackToBack",1
"BackToWork",1
"balancedbudget",1
"BalancedBudget",1
"Barcelona",1
"Bipartisanship",1
"BleedBlue",1
"bluesteel",1
"Brussels",1
"BuildTheRoad",1
"CadillacTax",1
"Canada",1
"CapitolChristmasTree",1
"Charlottesville",1
"China",1
"CHSleepout",1
"Chugach",1
"CISA",1
"ClayHuntSAVAct",1
"CloseUpDC",1
"CoastGuard",1
"ConfirmGorsuch",1
"CongressionalBaseballGame",1
"Congressman4AllAlaska",1
"CopperRiver",1
"CSISLive",1
"DEATakeBack",1
"Denali",1
"DitchTheRule",1
"Diwali",1
"DVAM",1
"Easter",1
"EielsonF35s",1
"ElizabethPeratrovichDay",1
"endhomelessness",1
"EndItMovement",1
"epa",1
"EUREKA",1
"FAA",1
"FedSocEvents",1
"first100days",1
"FlagDay",1
"FlameofHope",1
"flashbackfriday",1
"ForeverGIbill",1
"FPIForum",1
"France",1
"FreeJason",1
"FreezinForAReason",1
"FrozenFour",1
"GIBill",1
"GiveThePeopleAVoice",1
"GLACIER",1
"GMO",1
"GoldStarFamilies",1
"GoldStarPeak",1
"GOP",1
"GOPBuildsBridges",1
"GoVolunteer",1
"GrahamCassidy",1
"HappyBirthdayMarines",1
"HappyFathersDay",1
"HappyNewYear",1
"HelpingHands",1
"HillDay",1
"HireAVeteranDay",1
"HISF2016",1
"homeless",1
"homelessness",1
"HoyaAlum",1
"Hoyas",1
"HungerActionDay",1
"hungerpc15",1
"HurricaneIrma",1
"IAVA",1
"icebreakers",1
"Iditarod2016",1
"IditarodChamp",1
