"Mention","Frequency"
"RIDeptEd",2
"RIEOHHS",2
"RIHCA_CHCs",2
"RINationalGuard",2
"risca1967",2
"ritextiles",2
"RIVetsDirector",2
"Robert_Aderholt",2
"RWMSprov",2
"RWUJour",2
"SarahKSilverman",2
"SBGC2C",2
"SecMandyCohen",2
"SEIU",2
"SenateFloor",2
"SenatorTester",2
"SenatorWicker",2
"SenCoryGardner",2
"sendavidperdue",2
"SenGaryPeters",2
"SenRubioPress",2
"SenTinaSmith",2
"ShopFloorNAM",2
"smurdock377",2
"SpeakerRyan",2
"T_Sittenfeld",2
"thehill",2
"TheHillEvents",2
"TheICCFGroup",2
"TheProvCenter",2
"US_EDA",2
"USCCB",2
"USNavy",2
"WaterFireProv",2
"weatherchannel",2
"ywca_ri",2
"_AnnieRogers_",1
"_MealsOnWheels",1
"4juvjustice",1
"aaldef",1
"AARPRI",1
"AAUP",1
"ABAesq",1
"ABCPolitics",1
"ABCyaGames",1
"ACEurasia",1
"ACOGAction",1
"ACSCANRI",1
"AdyBarkan",1
"AEIecon",1
"Africa_RI",1
"AGKilmartin",1
"ahahospitals",1
"AjitPaiFCC",1
"AkGovBillWalker",1
"ALALibrary",1
"alaskawild",1
"alexcguillen",1
"AlexCKaufman",1
"AllanMargolin",1
"AllianceCBRN",1
"allinwithchris",1
"Altarum_BH",1
"AmChemistry",1
"AmDiabetesAssn",1
"amermathsoc",1
"AmerMedicalAssn",1
"AmmonFoundation",1
"AmyAHarder",1
"annalecta",1
"aparnamath",1
"ArielMoger",1
"AriMelber",1
"ArmsteadWV",1
"AsaHutchinson",1
"ASAMorg",1
"ASCETweets",1
"aseitzwald",1
"axios",1
"BayViewAcademy",1
"BenSasse",1
"BerniceKing",1
"BillNye",1
"bobinglis",1
"BoldProgressive",1
"bradplumer",1
"BrentSanfordND",1
"Brian_Bosma",1
"BrownObGyn",1
"businessinsider",1
"ButlerHospital",1
"BuzzFeedNews",1
"CarbonWrangler",1
"Carl_Hiaasen",1
"CARosenberger",1
"Carter_Roberts",1
"CatholicNewsSvc",1
"CatoInstitute",1
"CCSTechFacts",1
"CentralFalls_RI",1
"CF_Foundation",1
"CFPBDirector",1
"ChasingCoral",1
"Chris_Maher",1
"chrislhayes",1
"citizensclimate",1
"CityYearPVD",1
"CivilAirPatrol",1
"CivilRights",1
"CJR",1
"ClarkGascoigne",1
"CleanBays",1
"cleanoceanacces",1
"ClimateMayors",1
"ClimateNexus",1
"climatetruth",1
"CNBC",1
"CNNnewsroom",1
"CNNOpinion",1
"Coastal_Medical",1
"CoastkeeperRI",1
"Columbia",1
"CommerceGov",1
"CommonCause",1
"CoogsnRecovery",1
"cowanchristianh",1
"CQnow",1
"CurtisCornerMS",1
"DanBarryNYT",1
