"Hashtag","Frequency"
"SD33",1
"SenateSuperMajority",1
"September11",1
"SiriusXM",1
"smallbiz",1
"SourSixteen",1
"SpecialReport",1
"specialtyDocs",1
"spendingbill",1
"StopHillary",1
"Storming2016",1
"students",1
"SundayFutures",1
"SundayMorningFutures",1
"TANSTAFL",1
"taxday",1
"taxpayers",1
"TaxReform",1
"tbt",1
"TBT",1
"Teaparty",1
"TheFreedomFest",1
"theinsiders",1
"TheSwamp",1
"ThisWeek",1
"Throwback",1
"Tompkinsville",1
"ToneDownForWhat",1
"tonightly",1
"TravelTuesday",1
"TREATact",1
"TREATAct",1
"TrueDetectiveSeason3",1
"Trump",1
"txpolitics",1
"USARIGHTSAct",1
"veterans",1
"Veterans",1
"WaronChristmas",1
"WaronDrugs",1
"wave3news",1
"wbkonews",1
"WeAreN",1
"WheresTheBill",1
"WYpol",1
"WYvote",1
"YAL",1
"Yemen",1
"yes",1
"YRWatchParty",1
