"Mention","Frequency"
"Newseum",2
"newtgingrich",2
"northropgrumman",2
"NorthwestMSCC",2
"OBHSQuistors",2
"OSCE",2
"OutFrontCNN",2
"PruSpirit",2
"RCDefense",2
"Readygov",2
"RedCrossMiss",2
"RFERL",2
"RIFWEB",2
"RWJF",2
"schoolchoicewk",2
"SecondLady",2
"SecPriceMD",2
"secupp",2
"Sen_JoeManchin",2
"SenAngusKing",2
"SenatorCarper",2
"SenatorCollins",2
"SenatorFischer",2
"SenatorIsakson",2
"SenatorLankford",2
"SenDanSullivan",2
"SenDeanHeller",2
"SenGaryPeters",2
"SenJeffMerkley",2
"SenJohnHoeven",2
"SenMikeLee",2
"SenSchumer",2
"smithsonian",2
"Southern_Living",2
"SpeakerRyan",2
"stevenmnuchin1",2
"tatereeves",2
"TheMINDCenter",2
"ThePRobReport",2
"timkellernyc",2
"TomWheelerFCC",2
"TonyYarber",2
"Toyota",2
"TRex21",2
"TruckSafetyOrg",2
"tupmayorsoffice",2
"UMchancellor",2
"US_FDA",2
"USAID",2
"uscoastguard",2
"USDOTFRA",2
"USGAO",2
"USMMA_Alumni",2
"USPS",2
"USTradeRep",2
"visitms",2
"vkaramurza",2
"Voices4Service",2
"wdam",2
"WilburRoss",2
"WJTV",2
"WmCareyU",2
"_MelissaEgan",1
"_TigerNation",1
"10Best",1
"1Referee1",1
"2013MissMS",1
"403rdWing",1
"4H",1
"60Minutes",1
"AAF",1
"aaronschock",1
"ABC",1
"ABCNational",1
"abcnews",1
"ABCNewsRadio",1
"ACLJ",1
"ACSCAN",1
"AdvocacySBA",1
"aeaton106",1
"AerojetRdyne",1
"AF_Academy",1
"afncwoodward",1
"afspnational",1
"Airbus",1
"aircraftcarrier",1
"Ajshaps",1
"ALALibrary",1
"alcornst",1
"alfranken",1
"AllAmericaCity",1
"alliemartin1211",1
"ALS_Assoc_LA_MS",1
"ALZIMPACT",1
"AmerAcadPeds",1
"AmericaNewsroom",1
"AmeriCorpsAlums",1
"AmoryFB",1
"AmoryHighSchool",1
"andclev",1
"ANHQDC",1
"anticorruption",1
"AOPA",1
"Aplu",1
"Apple",1
"ArmyERDC",1
"ASBMB",1
"ashrafghani",1
"ATFHQ",1
"AundreaSelf",1
"Baird",1
"BarbieBassettTV",1
"BBCWorld",1
"bcbeat",1
"beardfoundation",1
"becca_leecarver",1
"BenKennedyTV",1
"BetsyDeVos",1
"BlairEBatson",1
"BmjMiddle",1
"BOEM_DOI",1
"bosshogswife",1
"Bourdain",1
"BrianDozier",1
"brianschatz",1
"bricewigginsMS",1
"BrookeBCNN",1
"burgessev",1
"BWilliams",1
"CapitolPolice",1
"CareInnovations",1
"CarolCNN",1
"carolynkess",1
"CaterpillarInc",1
"CDFMS",1
"cfordwtva",1
"Chevron",1
"chickencouncil",1
"ChipPickering",1
"Chiquita",1
"ChrisVignes",1
"Circadence",1
"Citizens4Space",1
"CityofHernando",1
"Cityofob",1
"CityofVicksburg",1
"CivilAirPatrol",1
"CJLeMaster",1
"clayton_stanley",1
"CMSGov",1
"CNASdc",1
"CNNMoney",1
"CNNnewsroom",1
"CNNOpinion",1
"CNNSotu",1
"CNORichardson",1
"CoachDanMullen",1
"CoachJim4UM",1
"CoachToCureMD",1
"Colpipe",1
