"Mention","Frequency"
"SenJohnThune",159
"SenateCommerce",71
"CommerceGOP",37
"SenateGOP",33
"FoxNews",26
"keloland",26
"SenatorRounds",26
"POTUS",25
"senate_gops",23
"SD_Guard",22
"RepKristiNoem",21
"argusleader",19
"Morning_Joe",19
"EPA",17
"dailyrepublic",16
"FoxBusiness",16
"SDCoyotes",16
"SDGovDaugaard",16
"washingtonpost",16
"GoJacksMBB",15
"USDA",15
"GoJacksSDSU",14
"usairforce",14
"AmericaNewsroom",13
"DakotaState",13
"gretawire",13
"ksfynews",13
"SDState",13
"CloseUp_DC",12
"FCC",12
"GOPSenFinance",12
"RonWyden",12
"sdcorn",12
"SDCoyotesWBB",12
"28thBombWing",11
"JoeNBC",11
"morningmika",11
"RCJournal",11
"stuwhitney",11
"thehill",11
"AjitPaiFCC",10
"amyklobuchar",10
"KDLTNews",10
"sdsmt",10
"WSJ",10
"DeirdreBolton",9
"FreeBeacon",9
"greta",9
"IndianCommittee",9
"SenateAgGOP",9
"SFAreaChamber",9
"TeamCavuto",9
"ChuckGrassley",8
"CNBC",8
"cspan",8
"JerryMoran",8
"nytimes",8
"RiskRewardFBN",8
"USATODAY",8
"USF_Athletics",8
"AP",7
"chadgreenway52",7
"CommerceGov",7
"InternetAssn",7
"keloradio",7
"MidcoSN",7
"MSNBC",7
"NationalFFA",7
"PeriscopeCo",7
"SanfordLab",7
"SDSU_Jacks",7
"SenateDems",7
"SenBillNelson",7
"TSA",7
"570WNAXNEWS",6
"AARPSD",6
"AmericanLegion",6
"BillHemmer",6
"FoxNewsSunday",6
"GoAugie",6
"GopherMBB",6
"Interior",6
"MikeEmanuelFox",6
"SDCoopPower",6
"SenateMajLdr",6
"summithoops",6
"tombrokaw",6
"TomWheelerFCC",6
"USDOT",6
"WNAX",6
"AberdeenNews",5
"BarackObama",5
"bhstockshow",5
"capitaljournal",5
"cathymcmorris",5
"CCAInstitute",5
"daily_leader",5
"Daktronics",5
"foxandfriends",5
"GoJacksWBB",5
"HeatherAnWilson",5
"JPtheNewsguy",5
"kotatweets",5
"LakeAreaTech",5
"NewsHour",5
"NorthernStateU",5
"pheasants4ever",5
"politico",5
"Rotary",5
"SanfordPentagon",5
"SDCoyotesMBB",5
"SDFarmBureau",5
"sdsoybean",5
"SecretarySonny",5
"SenatorFischer",5
"SenJohnHoeven",5
"SenJohnsonSD",5
"SiouxEmpireFair",5
"taxfoundation",5
"USNavy",5
"Vikings",5
"WSJopinion",5
"agripulse",4
"AugustanaSD",4
"BeckyHammon",4
"CNN",4
"DakotaWesleyan",4
"DeptVetAffairs",4
"dtsiouxfalls",4
"fema",4
"GoJacksFB",4
"HappeningNow",4
"JohnCornyn",4
"JonScottFNC",4
"KevinWoster",4
"marcorubio",4
"NASA",4
"NewsCenter1",4
"nielslesniewski",4
"RepBillShuster",4
"RepFredUpton",4
"RepKevinBrady",4
"SD_FFA",4
"SDRetailers",4
"SenBrianSchatz",4
"SenJohnBarrasso",4
"SenJohnMcCain",4
"SenPatRoberts",4
"ShopFloorNAM",4
"SquawkCNBC",4
"TeamUSA",4
"TODAYshow",4
"todayskccr",4
"UniversitySD",4
"ACUConservative",3
"ANHQDC",3
"AppMeerkat",3
"argusjellis",3
"AugieCRs",3
"AugieMensBball",3
"BlackHillsState",3
"BretBaier",3
"CHPatisserie",3
"CitySiouxFalls",3
"CNNMoney",3
"CoachSalemMSU",3
"DailyCaller",3
"DakotaRelays",3
"dcexaminer",3
"DQmadisonsd",3
"EmilySpartz",3
"EricShawnonFox",3
"Evan_Hendershot",3
"gojacks",3
"Google",3
"HHSGov",3
"HouseGOP",3
"hughhewitt",3
"IngrahamAngle",3
"IntrepidMuseum",3
"ITI_TechTweets",3
"jhinderaker",3
"JohnBoozman",3
"johnthune",3
"larry_kudlow",3
"LukeRussert",3
"MariaBartiromo",3
"marthamaccallum",3
"mikeofcc",3
"MilitaryTimes",3
"MLB",3
"netanyahu",3
"NFIB",3
"NRO",3
"nypost",3
"packers",3
"RapidCityPD",3
"RCChamber1",3
"rollcall",3
"SDakotaHeart",3
"SDCattlemen",3
"sdfarmersunion",3
"SDGirlsState",3
"SDHSAA",3
"SenatorTimScott",3
"SenCoryGardner",3
"senorrinhatch",3
"SenSchumer",3
"SiouxFallsYPN",3
"SpecialReport",3
"SteveDaines",3
"thesummitleague",3
"USACEHQ",3
"USArmy",3
"USMC",3
"USTreasury",3
"Varneyco",3
"WashTimes",3
"WhiteHouse",3
"YahooNews",3
"4H",2
"AARP",2
"ACSCAN",2
"ACSCANSD",2
"AGCofSD",2
"ALAGirlsNation",2
"ALBoysNation",2
"AmChemistry",2
"AngelaKennecke",2
"Apple",2
"Argus_Joe",2
"ArgusMontgomery",2
