"Mention","Frequency"
"SenDeanHeller",207
"reviewjournal",90
"CityOfLasVegas",74
"POTUS",70
"ClarkCountySch",68
"rgj",68
"DeptVetAffairs",63
"TravelNevada",61
"CityofReno",53
"ClarkCountyNV",53
"NevadaWolfPack",44
"nevadaappeal",38
"GovSandoval",37
"unlv",36
"NellisAFB",35
"LASairport",34
"MartinHeinrich",34
"unevadareno",34
"washoecounty",34
"RenoAirport",31
"LVMPD",29
"UNLVathletics",27
"HonorFlightNV",26
"TMFPD",25
"GOPSenFinance",23
"MarkAmodeiNV2",23
"SenateCommerce",22
"KRNV",21
"ElkoDaily",20
"SenFeinstein",19
"renotahoe",18
"RepHardy",18
"WCSDTweet",18
"LasVegasFD",17
"LasVegasSun",17
"Nevada_Outside",17
"VP",17
"CarsonCityGov",16
"cityofhenderson",16
"DHSgov",15
"KTVN",15
"LVCVA",15
"NevadaHoops",15
"UNLVLadyRebels",15
"usairforce",15
"KellyAyotte",14
"renorodeo",14
"SenGillibrand",14
"EnergyGOP",13
"NVNationalGuard",13
"RepJoeCourtney",13
"SenBobCasey",13
"cityofsparks",12
"Interior",12
"KOLO8",12
"NewsTalk780KOH",12
"OppVillageLV",12
"pvtimes",12
"RJpolitics",12
"SenateFloor",12
"SenatorReid",12
"SenatorTester",12
"SenCortezMasto",12
"EPA",11
"lvchamber",11
"Pontifex",11
"RenoFireDept",11
"STetreaultDC",11
"unlvnews",11
"NevadaFootball",10
"renoballoon",10
"RTCWashoe",10
"unlvfootball",10
"8NewsNow",9
"FallonNews",9
"JohnCornyn",9
"SecretaryZinke",9
"SEIA",9
"Sen_JoeManchin",9
"stevenmnuchin1",9
"UNLVEngineering",9
"USDOT",9
"wendydamonte",9
"ccsdbracken",8
"CloseUp_DC",8
"CommerceGOP",8
"federalreserve",8
"GoldenKnights",8
"KTNV",8
"RandPaul",8
"SenMarkey",8
"SouthwestAir",8
"blmnv",7
"CNLV",7
"fightthe40",7
"HumboldtToiyabe",7
"KrisBryant_23",7
"maziehirono",7
"News3LV",7
"senate_gops",7
"SenatorTimScott",7
"SenJohnThune",7
"thedanmasonshow",7
"VAChair",7
"BLMNational",6
"CarsonTahoe",6
"clairecmc",6
"ClarkCountyFD",6
"DavidsonGifted",6
"DeanHeller",6
"FisherHouseFdtn",6
"FOX5Vegas",6
"HydePark_MS",6
"lakemeadnra",6
"mrDavidWise",6
"NVHemophilia",6
"PatatCCSD",6
"paulafrancis8",6
"repdinatitus",6
"SenateDems",6
"SenDanSullivan",6
"SenDonnelly",6
"thehill",6
"TheRunninRebels",6
"tmccnevada",6
"YouTube",6
"Aces",5
"Allegiant",5
"amyklobuchar",5
"Bharper3407",5
"CBITourney",5
"FCC",5
"GuyClifton",5
"janeygal",5
"lvlcc",5
"MasonValleyNews",5
"MedicareGov",5
"NationalHistory",5
"Nevada_Magazine",5
"RenoPolice",5
"RonWyden",5
"SecAFOfficial",5
"SenatorCantwell",5
"SenCoryGardner",5
"SeniorSpectrum",5
"senorrinhatch",5
"StoreyCounty",5
"the_USO",5
"UMCSN",5
"unlvbaseball",5
"USNavy",5
"USTreasury",5
"VirginiaCity",5
"987highrollers",4
"AmDiabetesAssn",4
"BaileyGumm",4
"BCReview",4
"CCSDMagnet",4
"CCWetlandsPark",4
"CMNHospitals",4
"CSNCoyote",4
"EPWRepublicans",4
"FAANews",4
"fema",4
"FSELV",4
"gbcnevada",4
"haileys_hand",4
"HomeMeans_NV",4
"HouseCommerce",4
"HUDgov",4
"Hutch4Nevada",4
"IvankaTrump",4
"JeffFlake",4
"KimmieCandy",4
"lisamurkowski",4
"LYONOEM",4
"mayoroflasvegas",4
"Mitch_Fox",4
