"Mention","Frequency"
"SenatorHeitkamp",80
"inforum",46
"SenCapito",36
"senrobportman",36
"319ABW",35
"SenWhitehouse",35
"Snapchat",34
"SenateBanking",33
"gfherald",30
"NDStateFair",28
"TeamMinot",28
"myUND",27
"USPS",26
"bistrib",21
"USDA",21
"AARP",20
"SenJohnHoeven",18
"DHSgov",17
"IndianCommittee",16
"MAFBPA",16
"NDNationalGuard",16
"NDSUfootball",16
"cindymccain",15
"JoelKFGO",14
"usairforce",14
"AgweekMagazine",13
"SenateMajLdr",13
"SenatorCollins",13
"SquawkCNBC",13
"nodakchamber",12
"nytimes",12
"SecretarySonny",12
"SenJohnMcCain",12
"SenJoniErnst",12
"washingtonpost",12
"KaiserFamFound",11
"lisamurkowski",11
"NFUDC",11
"SenatorTester",11
"ENERGY",10
"MikeMcFeelyWDAY",10
"NDMedAssn",10
"SenJohnBarrasso",10
"TheJusticeDept",10
"undeerc",10
"CloseUp_DC",9
"FargoPolice",9
"kennaninstitute",9
"NDHospitalAssn",9
"NewDay",9
"SenDeanHeller",9
"CarbonWrangler",8
"dickinsonpress",8
"LigniteCouncil",8
"MinotDailyNews",8
"SenatorLankford",8
"SenGillibrand",8
"UNDmhockey",8
"USACEHQ",8
"amyklobuchar",7
"cankdeskacikana",7
"EENewsUpdates",7
"EPA",7
"FMDiversion",7
"HUDgov",7
"JocelyneUSA17",7
"McCainInstitute",7
"NDSU",7
"politico",7
"SenFranken",7
"UnitedTribesND",7
"USCBO",7
"VinceSchilling",7
"AFLCIO",6
"AP",6
"CCAInstitute",6
"DeptofDefense",6
"fema",6
"GrandSkyND",6
"JohnCornyn",6
"KFYRTV",6
"KXMB",6
"maziehirono",6
"NDFarmersUnion",6
"ONDCP",6
"POTUS",6
"SBAgov",6
"Scotus",6
"SenateCommerce",6
"SenateYouth",6
"WDAYnews",6
"AARP_ND",5
"axios",5
"BPC_Bipartisan",5
"cityoffargo",5
"CoryBooker",5
"FCC",5
"forestservice",5
"FortuneMagazine",5
"GeraldFSeib",5
"HHSGov",5
"Interior",5
"JeffFlake",5
"KwallevandWDAY",5
"MatthewRojansky",5
"moniquelam7",5
"mycowboylogic",5
"ndhistory",5
"NoradNorthcom",5
"SecretaryCastro",5
"SenAngusKing",5
"SenDanSullivan",5
"TRooseveltNPS",5
"USTradeRep",5
"ValleyCHCorg",5
"WhiteHouse",5
"AmericanLegion",4
"AmerMedicalAssn",4
"aprilbaumsaway",4
"Basin_Electric",4
"cj_wentz",4
"giancarloCFTC",4
"Google",4
"HomesForOurTrps",4
"jamestownsun",4
"MartinHeinrich",4
"mollyyeh",4
"NCJTC",4
"NDFFA",4
"Sen_JoeManchin",4
"SenatorCarper",4
"SenatorTomUdall",4
"SenatorWicker",4
"StPaulUSACE",4
"thehill",4
"TheWilsonCenter",4
"UNDwhockey",4
"USChamber",4
"usdafsa",4
"WSJ",4
"_efargo",3
"701Coworking",3
"970WDAY",3
"AmerAcadPeds",3
"BobLeyESPN",3
"ByronDorgan",3
"CFPB",3
"clairecmc",3
"CNN",3
"DeptVetAffairs",3
"DougBurgum",3
"EPAScottPruitt",3
"familyvoicesnd",3
"FBI",3
"IBM",3
"jhageman_",3
"JohnBoozman",3
"KariWBlock",3
"KVRRTV",3
"LindseyGrahamSC",3
"Microsoft",3
"NCAI1944",3
"NDFA1",3
"nnedv",3
"NYUWashingtonDC",3
"OTLonESPN",3
"PowerLunch",3
"prairiepublic",3
"SenCortezMasto",3
"SenJeffMerkley",3
"SenThomTillis",3
"ShopFloorNAM",3
"SteveDaines",3
"StopTheHIT",3
"Tessa_Gould",3
"The_Laymen",3
"UNDfootball",3
"uscensusbureau",3
"USGAO",3
"WellsFargo",3
"willistonherald",3
"afterschool4all",2
