"Hashtag","Frequency"
"GOPbudget",58
"Trumpcare",50
"ActOnClimate",33
"ProtectOurCare",27
"RaiseTheWage",26
"AskMDDems",21
"capafDISCLOSE",19
"SOTU",19
"ACA",18
"BayChat",16
"RenewUI",16
"Benghazi",15
"GOPshutdown",15
"TaxReform",15
"InclusionWorks",14
"AskDems",13
"GetCovered",13
"GOPTaxScam",13
"Obamacare",13
"StandWithPP",13
"TrumpBudget",12
"GrahamCassidy",11
"HealthcareBill",11
"MiddleClassFirst",11
"SCOTUS",11
"DoYourJob",10
"StopTheSequester",10
"EqualPay",9
"GOPBudget",9
"NetNeutrality",9
"ABLEAct",8
"BRINKAct",8
"DISCLOSE",8
"DreamAct",8
"Medicare",8
"Prosperity4All",8
"WrongWay",8
"ACAworks",7
"budget",7
"CIR",7
"CVHatCAP",7
"DemBudget",7
"DisarmHate",7
"DontShutDownOurSecurity",7
"EarthDay",7
"FundDHS",7
"ShowUsTheBill",7
"TimeIsNow",7
"2016budget",6
"BlackHistoryMonth",6
"BMoreTownHall",6
"CBOScore",6
"fiscalcliff",6
"GOPdefault",6
"ISIS",6
"jobs",6
"Medicaid",6
"NoBillNoBreak",6
"RestoreTheVRA",6
"sequester",6
"StopGunViolence",6
"VeteransDay",6
"Zika",6
"AMR",5
"ChesapeakeBay",5
"ChesBay",5
"DefendDACA",5
"DISCLOSEAct",5
"DoNothingGOP",5
"equalpay",5
"GOPShutdown",5
"LaborDay",5
"NotOneMore",5
"RaisetheWage",5
"SaveMedicaid",5
"STARAct",5
"TalkGunSense",5
"TBT",5
"USA",5
"ABetterDeal",4
"ABLE",4
"AmericaSpeaksOut",4
"CelebrateMaryland",4
"ComeyFiring",4
"ComeyHearing",4
"Cuba",4
"Healthcarebill",4
"LGBT",4
"NoFlyNoBuy",4
"renewUI",4
"SaveACA",4
"SaveTheBay",4
"SocialSecurity",4
"StandwithPP",4
"STEM",4
"Syria",4
"TaxDay",4
"ThanksObama",4
"Trump100Days",4
"ACAWorks",3
"ADA27",3
"BudgetConference",3
"ChatswithChris",3
"CleanPowerPlan",3
"DemandAVote",3
"DISCLOSEact",3
"DoYourJobHouseGOP",3
"Dreamers",3
"ENDA",3
"EqualPayDay",3
"GOPTaxPlan",3
"HarrietTubmanDay",3
"HereToStay",3
"HigherEd",3
"IranDeal",3
"marchforscience",3
"MemorialDay",3
"MTPDaily",3
"NoMoreSilence",3
"NotMyBossBusiness",3
"ObamaCare",3
"OpioidEpidemic",3
"ParisAgreement",3
"PeoplesFilibuster",3
"PinkOut",3
"pullupachair",3
"raisethewage",3
"Sandy",3
"SandyHook",3
"ScienceMarch",3
"SkinnyRepeal",3
"SocialSecurity80",3
"TalkPoverty",3
"TPP",3
"TrumpShutdown",3
"Umatter",3
"UMatter",3
"Veterans",3
"VoteNoAHCA",3
"WealthCare",3
"WearOrange",3
"WheresTheBudget",3
"WMATA",3
"WomensEqualityDay",3
"WorkingFamilies",3
"1010means",2
"4thOfJuly",2
"ActonClimate",2
"AHCA",2
"ALZForum",2
"Antares",2
"AYearofTrump",2
"BankOnStudents",2
"BringBackOurGirls",2
"capanddividend",2
"Charlottesville",2
"ChildCare4All",2
"ChildhoodCancer",2
"CitizensUnited",2
"CJR",2
"cleanwater",2
"CleanWaterRules",2
"CloseTheLoophole",2
"ComeyHearings",2
"ConfirmLynch",2
"Cures2015",2
"DCEnergyExpo",2
"DDay",2
"DegreesNotDebt",2
"DeliverFairness",2
"DemandaVote",2
"disarmhate",2
"DoddFrank",2
"DontDoubleMyRate",2
"ebola",2
"EmanuelAME",2
"enough",2
"Enough",2
"EqualPayNow",2
"fairshot",2
"FarmBill",2
"FBI2MD",2
"FightFor15",2
"FindYourPark",2
"getcovered",2
"GetCoveredMD",2
"GetCoveredNow",2
"Gorsuch",2
"GVP",2
"healthcare",2
"healthcarebill",2
"HIVAIDS",2
"HolocaustRemembranceDay",2
"ImmigrationAction",2
"inners",2
"IRS",2
"Juneteenth",2
"KeepitPublic",2
"Kobani",2
"LCVLobbyDay2016",2
"MakeAmericaSickAgain",2
"MarchforScience",2
"MerryCliffmas",2
"Metro",2
"MLKJrDay",2
"Mnuchin",2
"NationalFarmersDay",2
"NationalParksWeek",2
"NeverForget",2
"NoBudgetNoPay",2
"NoSecretMoney",2
"NunesMemo",2
"OpportunityForAll",2
"OurHomesOurVoices",2
"overtime",2
"PassENDA",2
"PaycheckFairness",2
"PulseShooting",2
"PWDs",2
"RACE4ChildrenAct",2
"RaiseTheCaps",2
"RavensAtTheWH",2
"RebuildAmerica",2
"SavetheBay",2
"sequestration",2
"Shequality",2
"ShopSmall",2
"tbt",2
"Timefor1010",2
"TitleX",2
"TPS",2
"UCCShooting",2
"United",2
"VAWA",2
"veterans",2
"Vote4Jobs",2
"votingrights",2
"Wealthcare",2
"WEmatter",2
"WhatMothersNeed",2
"WomenSucceed",2
"WorldAIDSDay",2
"WorldAutismAwarenessDay",2
"100DaysOfGOP",1
"100YearsStrong",1
"1010Means",1
"1million600k",1
"1MillionHearts",1
"1N1T",1
"1u",1
"2million",1
"4EACHofUs",1
"530slide",1
"8demarzo",1
"A4Achallenge",1
"ACAanniversary",1
"ACAisWorking",1
"acaworks",1
"affordablehousing",1
"afterschool",1
"AIDS",1
"ALMSAIS",1
"AlternativeFacts",1
"alzheimers",1
"AmericaPaysItsBills",1
"AmericasCollegePromise",1
"amnesia",1
"AmplifyYourself",1
"amputees",1
"AMR5years",1
"Amtrak188",1
"AnneFrank",1
"AprilFoolsDay",1
"ArmyNavy",1
"AskMDDem",1
"AssaultWeaponsBan",1
"AtlasV",1
"AUMF",1
"BalancedBudget",1
"BaltimorePride",1
"baltimorewomensmarch",1
"BanTheBox",1
"Bay",1
"BayStrong",1
"BeAVoice",1
"BeBoldEndHyde",1
"BetterWay",1
"BHM",1
"BlackLivesMatter",1
"BmoreTownHall",1
"bordercrisis",1
"BorderCrisis",1
"BringAlanHome",1
"BrownvVBoard",1
"campaignfinance",1
"candocanal",1
"CapandDividend",1
"capandividend",1
"CareForVets",1
"CBOReport",1
"CC2CAct",1
"CelebrateNVRD",1
"CharlieHebdo",1
"ChatsWithChris",1
"Chattanooga",1
"childhoodcancer",1
"CJReform",1
"CleanWaterRule",1
"ClimateMarch",1
"ConferenceNotCrisis",1
"CongressionalBaseballGame",1
"Conococheague",1
"ConstitutionDay",1
"Consumer",1
"CostOfInaction",1
"costsofclimate",1
"CRomnibust",1
"CruzAmendment",1
"CTE",1
"CuresAct",1
"CustomersNotCargo",1
"CustomersNotCargoAct",1
"CutMethane",1
"CVRC",1
"CVsummit",1
"CyberMonday",1
"Cyprus",1
"DACA",1
"Dallas",1
"darkmoney",1
"DayofRemembrance",1
"DemocracySuspended",1
"DETERAct",1
"DHSshutdown",1
"dieselgate",1
"disbandit",1
"DISCLOSE2012",1
"DiscloseAct",1
"DISCLOSEvote",1
"disclosure",1
"DOMA",1
"DREAMeconomy",1
"dreamers",1
"ECStrong",1
"EITC",1
"EndALZ",1
"ENDALZ",1
"EndAlzheimers",1
"EndangeredSpeciesAct",1
"endgunviolence",1
"EndProfiling",1
"EnergyTechEd2015",1
"EnMarche",1
"ENOUGH",1
"equalityact",1
"EqualityAct",1
"EqualityForAll",1
"equalityforward",1
"EqualPayCantWait",1
"ExImBank",1
"ExpandSocialSecurity",1
"FactCheck",1
"Fairpay",1
"FairScheduling",1
"FamiliesSucceed",1
"FAMILYAct",1
"FamilyLeave",1
"FathersDay",1
"FearTheTurtle",1
"FF",1
"FIFAWWC",1
"FightBigMoney",1
"FightForFamilies",1
"FinalSOTU",1
"FindYourpark",1
"FiscalSummit",1
"FixOvertime",1
"Flint",1
"FlintWaterCrisis",1
"FMLA",1
"FMLA22",1
"ForeclosureKing",1
"ForeignServiceDay",1
"ForTheRecord",1
"forwardonclimate",1
"FrederickDouglass200",1
"FY17NDAA",1
"GameOfThrones",1
"gcmdc",1
"GCMDC",1
"GenderEquality",1
"GER",1
"GetMoneyOut",1
"GirlsCount",1
"GirlsLead14",1
"GirlsLead15",1
"girlslead16",1
"GOESR",1
"GoNavy",1
"GOP",1
"gopbudget",1
"GOPHouseofCards",1
"GOPs1st100Days",1
"GOPsham",1
"GOPTaxBill",1
"GOPTaxScan",1
"GrahamCassidybill",1
"GreatAmericanSmokeout",1
"gridlock",1
"GroundhogDay",1
"GROWAMERICAact",1
"gunsafety",1
"gunviolence",1
"Gunviolence",1
"GunViolence",1
"hccnow",1
"HearTheCrunch",1
"heretostay",1
"HeretoStay",1
"HeroToMe",1
"HHM",1
"hillday",1
"HillDay15",1
"HillDays",1
"HIV",1
"Hoax",1
"HobbyLobby",1
"holdthefloor",1
"HolocaustRemembrance",1
"HonorWithAction",1
"HOPE",1
"Housing4ALL",1
"HR1806",1
"HR3193",1
"HR5",1
"HR6",1
"HR620",1
"HR933",1
"HumanRightsDay",1
"HurricaneHarvey",1
"HurricaneIrma",1
"HydeAndSneak",1
"hypocrisy",1
"IamAPreExisitingCondition",1
"IBelieve",1
"ImmigrationReform",1
"imwithwally",1
"Inaug2013",1
"inclusionworks",1
"IntelSTS",1
"InvestinUs",1
"IranLetter",1
"ISIL",1
"IssaCircus",1
"IStandWithAhmed",1
"ItsOnUs",1
"IWD2016",1
"JimComey",1
"Joaquin",1
"jobsandjustice",1
"JobsReport",1
"JulianBond",1
"JWST",1
"KeepingUSHealthy",1
"KeepItPublic",1
"KentIsland",1
"KidsCancerChat",1
"Kobane",1
"laborday",1
"leadfreekids",1
"leadonleave",1
"Lent",1
"LetGirlsLearn",1
"lgbt",1
"LGBTQ",1
"limbloss",1
"LittleRockNine",1
"LLAM",1
"LouisianaFlood",1
"LoveCantWait",1
"LoveHasWon",1
"LoveIsLove",1
"lovewins",1
"LoveWins",1
"LPPW2015",1
"LWCF",1
"MadeInAmericaWeek",1
"MahaloMark",1
"MakeItInAmerica",1
"MakingLifeWorse",1
"Malala",1
"marriageequality",1
"MarylandDay",1
"MD4ME",1
"MDstorm",1
"Mecca",1
"MedalofHonor",1
"MedicaidnotMillionaires",1
"MedicareForAll",1
"MenForChoice",1
"metro",1
"MH17",1
"middleclassfirst",1
"MiddleClassTaxCuts",1
"MilitaryAppreciationMonth",1
"MissionPossible",1
"MLKday",1
"MLKday2017",1
"MLKDayofService",1
"moonshot",1
"morethansilence",1
"MorningJoe",1
"MothersDay",1
"MuslimBan",1
"MWMsenate17",1
"my2k",1
"NationalAgDay",1
"NationalLobsterDay",1
"NationalTeachersDay",1
"NCA2014",1
"NEAOurTown",1
"neverforget",1
"Newtown",1
"NoAgeTax",1
"NoBanNoWallNoRaids",1
"noflynobuy",1
"NoMadMenPay",1
"NorthKorea",1
"NotOnePenny",1
"NPS99",1
"NRA",1
"NumbersToKnow",1
"OAA50",1
"ObamacareInAction",1
"ObamaCareInAction",1
"ObamaCareInThreeWords",1
"OneNationOneTeam",1
"OneVoice",1
"OpenEnrollment",1
"opioidcrisis",1
"opioidepidemic",1
"Orlando",1
"OrlandoUnitedDay",1
"OSHA",1
"ourimpact",1
"OurImpact",1
"oyster",1
"p2",1
"PAEMST",1
"Paidleave",1
"PaidSickDays",1
"PaidSickLeave",1
"pancreaticcancer",1
"PaycheckFairnessAct",1
"PayChinaFirst",1
"Periscope",1
"PeshawarAttack",1
"PFLive",1
"PiDay",1
"PlutoFlyby",1
"Politics",1
"PoliticsHour",1
"POTUSbudget",1
"poverty",1
"PowerOfPink",1
"PrayForBoston",1
"PrayForNice",1
"PrayForParis",1
"Pride2017",1
"PrideMonth",1
"Prince",1
"Prop8",1
"ProtectAllWomen",1
"ProtectCleanWater",1
"ProtectDreamers",1
"ProtectEarthScience",1
"ProtectOurCoast",1
"protectworkers",1
"PROVEact",1
"publichealth",1
"PublicLands",1
"PublicServiceRecognitionWeek",1
"PuertoRicoRelief",1
"PurpleLine",1
"PWFA",1
"PyeongChang2018",1
"RaisetheCaps",1
"Rally4Babies",1
"rallyfornih",1
"RareDiseaseDay",1
"ReadySetEnroll",1
"recklessrecess",1
"RecklessRecess",1
"ReclaimRoe",1
"refugees",1
"RefugeesWelcome",1
"reprorights",1
"RideOn",1
