"Hashtag","Frequency"
"VT",131
"Trumpcare",47
"NetNeutrality",43
"AntiScience",32
"Vermont",26
"DACA",25
"GOPTaxScam",21
"POTUS",20
"BTV",19
"ScienceMarch",18
"SCOTUS",18
"ACA",17
"RipoffClause",17
"EPA",16
"Sessions",15
"LeahyWEOC",14
"Russia",14
"vtpoli",14
"BroadbandPrivacy",13
"Cuba",13
"AHCA",12
"TasteOfVermont",12
"DREAMers",11
"KillTheBill",11
"VTVets",11
"Gorsuch",10
"Medicaid",10
"netneutrality",10
"PuertoRico",10
"TrumpCare",10
"TrumpShutdown",10
"WomensMarch",10
"EarthDay",9
"MakeAmericaSickAgain",9
"MonumentsForAll",9
"Arpaio",8
"btv",8
"DreamAct",8
"ProtectOurCare",8
"SOTU",8
"vt",8
"AVRAct",7
"Comey",7
"Dreamers",7
"Equifax",7
"FarmtoSchool",7
"NIH",7
"RuralAmerica",7
"UVM",7
"BudgetTruthSquad",6
"ComeyHearing",6
"DefendDACA",6
"DeVos",6
"elite",6
"FISA",6
"Infrastructure",6
"JudgeGorsuch",6
"KnowNothingism",6
"NOAA",6
"NoBanNoWall",6
"NunesMemo",6
"opioid",6
"privacy",6
"Trump",6
"Vt",6
"WNS",6
"Appropriations",5
"BatWeek",5
"BigOil",5
"Charlottesville",5
"cleanwater",5
"ECPA",5
"FBI",5
"GroundhogDay",5
"Honduras",5
"Pruitt",5
"RipOffClause",5
"rural",5
"Russian",5
"Syria",5
"ThinkVT",5
"TrumpBudget",5
"UN",5
"VAWA",5
"Vietnam",5
"VRA",5
"ActOnClimate",4
"AmericaSpeaksOut",4
"BeBoldForChange",4
"BlackHistoryMonth",4
"CDC",4
"FCC",4
"ForTheRecord",4
"GOP",4
"GrahamCassidy",4
"iMarch",4
"infrastructure",4
"killthebill",4
"leahyweoc",4
"LymeDisease",4
"modECPA",4
"MuslimBan",4
"Opioid",4
"paidleave",4
"ProtectDreamers",4
"refugees",4
"SEC",4
"Senate",4
"SunshineWeek",4
"vermont",4
"AMR",3
"antiscience",3
"Apple",3
"Batman",3
"bats",3
"Brattleboro",3
"Budget",3
"Cats",3
"China",3
"CR",3
"CREATES",3
"dairy",3
"DAPL",3
"DOJ",3
"DREAMActNow",3
"ENDALZ",3
"GoodTrouble",3
"Haiti",3
"Higginbotham2017",3
"Keystone",3
"landmines",3
"MAGA",3
"MedicareForAll",3
"organic",3
"ourhomesourvoices",3
"Paris",3
"PurpleHeartDay",3
"RestoreTheVote",3
"TBT",3
"TheLead",3
"USDA",3
"VCats",3
"VRAA",3
"VTers",3
"afterschoolworks",2
"AirForce",2
"America",2
"Amtrak",2
"ANWR",2
"ArtMuseumDay",2
"AVR",2
"Bats",2
"BertaCaceres",2
"BigDance",2
"BREAKING",2
"broadbandprivacy",2
"CDBG",2
"CFPB",2
"Climate",2
"climatechange",2
"CNN",2
"CPB",2
"CQonBudget",2
"cybersec",2
"Danang",2
"databreach",2
"DefendCFPB",2
"education",2
"EndProfiling",2
"EnvironmentDefenders",2
"EqualPayDay",2
"Flynn",2
"ForcedArbitration",2
"FY17",2
"GoCats",2
"GOPBudget",2
"GorsuchHearing",2
"grateful",2
"GreatLakes",2
"GTMO",2
"Guatemala",2
"gunviolence",2
"healthcare",2
"HereToStay",2
"historicpreservation",2
"HIV",2
"HumanRights",2
"infrastucture",2
"InternationalWomensDay",2
"Iran",2
"IStandWithPP",2
"Jerusalem",2
"Jordan",2
"KeepKidsCovered",2
"Know",2
"leahysummit",2
"LeahySummit",2
"LWCF",2
"Medicare",2
"MemorialDay",2
"MemorialDay2017",2
"MLK",2
"MLKDay2018",2
"Mnuchin",2
"MostCommonCancer",2
"MTPDaily",2
"NationalAgDay",2
"Newsmakers",2
"NWS",2
"Olympics",2
"OpenInternet",2
"OrganicWeekDC",2
"OTD",2
"ParisAccord",2
"ParisAgreement",2
"PlannedParenthood",2
"PR",2
"Price",2
"resist",2
"Resist",2
"RestoreTheVOTE",2
"RestoreTheVRA",2
"Roth",2
"RulesAtRisk",2
"Sad",2
"seniors",2
"skincancer",2
"solar",2
"State",2
"stolenseat",2
"StopGorsuch",2
"swampcabinet",2
"Tax",2
"teamnature",2
"ThankAFarmer",2
"TitleX",2
"travesty",2
"TRUMPCARE",2
"TrumpcareKills",2
"USWomensHockey",2
"ValueCHCs",2
"Vermonters",2
"veterans",2
"VeteransDay",2
"voicesfornature",2
"votersuppression",2
"VoterSuppression",2
"VTpoli",2
"WallStreet",2
"WarOnScience",2
"WeAreAllDreamers",2
"WellsFargo",2
"whyilovethe802",2
"WorldRefugeeDay",2
"1stAmendment",1
"1u",1
"2010Earthquake",1
"6MonthsSinceWomensMarch",1
"802day",1
"A4Achallenge",1
"AAASForum",1
"AAPvoices",1
"ACCLegConf",1
"advancednuclear",1
"AEHoops",1
"AFBday",1
"affordablehousing",1
"afterschool",1
"AgentOrange",1
"AgSec",1
"Airmen",1
"airports",1
"AjitPai",1
"Alzheimer",1
"americaisgreat",1
"AmericanDreamers",1
"AMJoy",1
"AmnestyLobby",1
"andover",1
"AnneFrankAwards",1
"anti",1
"AntiquitiesAct",1
"Apollo11",1
"Appalling",1
"appropriations",1
"AppropriationsCommitteeViceChair",1
"Approps",1
"aptsthesummit",1
"arbitration",1
"Army",1
"ASCE",1
"attackonanimals",1
"aurora",1
"AutomaticVoterRegistration",1
"AVRForAll",1
"Bannon",1
"barns",1
"Baseball",1
"batweek",1
"Batweek",1
"Beer",1
"Bernie",1
"BernieSanders",1
"BigMining",1
"BlackWomenEqualPayDay",1
"BrettTalley",1
"Budget2017",1
"cabotfarmers",1
"campchamp",1
"camping",1
"Canada",1
"CanadaDay",1
"CantComplain",1
"CatsMadness",1
"CBO",1
"CBOscore",1
"CBOSCORE",1
"changethestoryvt",1
"CharactersWelcome",1
"children",1
"Chile",1
"CHIP",1
"Chiribiquete",1
"ChristmasTree",1
"ChurchStreet",1
"CIR",1
"civilrights",1
"CivilRights",1
"CJSAppropriations",1
"cleanenergyjobs",1
"CleanPowerPlan",1
"climateimpacts",1
"ClimateMarch",1
"ClimateMayors",1
"Clinton",1
"CloseUpDC",1
