"status_id","created_at","user_id","text","source","reply_to_status_id","reply_to_user_id","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x606490693230411776",2015-06-04 16:00:23,"x2903882167","Thanks team @DCCC for early bday party! What was my wish? Can't say, but it has to do w/electing more House Dems! http://t.co/aiGddoLPrp","Twitter Web Client",,,FALSE,FALSE,36,15,,,,,,"http://pbs.twimg.com/media/CGqwEkmU8AAPnUK.jpg","http://t.co/aiGddoLPrp","https://twitter.com/ChairmanDCCC/status/606490693230411776/photo/1","photo","http://pbs.twimg.com/media/CGqwEkmU8AAPnUK.jpg","http://t.co/aiGddoLPrp","https://twitter.com/ChairmanDCCC/status/606490693230411776/photo/1",,"x14676022","dccc","en",,,,,,,,,,,,,
"x598923553145131008",2015-05-14 18:51:17,"x2903882167","House Rs want to greet graduates with a mountain of debt at the end of the diploma receiving line. #diplomasnotdebt http://t.co/pQxlTIyY0g","Twitter Web Client",,,FALSE,FALSE,15,7,"diplomasnotdebt",,"dccc.org/dccc-launches-…","http://t.co/pQxlTIyY0g","http://dccc.org/dccc-launches-republican-accountability-project-diplomas-debt/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x593163638954819584",2015-04-28 21:23:26,"x2903882167","Statement on gay marriage arguments at the Supreme Court: http://t.co/TDQyA87tTL http://t.co/fV90ZlkKWX","Twitter Web Client",,,FALSE,FALSE,24,27,,,"dccc.org/dccc-chairman-…","http://t.co/TDQyA87tTL","http://dccc.org/dccc-chairman-lujan-statement-gay-marriage-arguments-supreme-court/","http://pbs.twimg.com/media/CDtXL62UEAAh9DY.png","http://t.co/fV90ZlkKWX","https://twitter.com/ChairmanDCCC/status/593163638954819584/photo/1","photo","http://pbs.twimg.com/media/CDtXL62UEAAh9DY.png","http://t.co/fV90ZlkKWX","https://twitter.com/ChairmanDCCC/status/593163638954819584/photo/1",,,,"en",,,,,,,,,,,,,
"x593162400158777344",2015-04-28 21:18:31,"x2903882167","Happy to have been there!  https://t.co/tJ3sNLFqwK","Twitter Web Client",,,TRUE,FALSE,5,3,,,"twitter.com/Schneider4IL10…","https://t.co/tJ3sNLFqwK","https://twitter.com/Schneider4IL10/status/593155456094310402",,,,,,,,,,,"en","x593155456094310402","@ChairmanDCCC A big thanks to Ben Ray Lujan for coming out to Illinois to support me on Monday.  We're fired up to elect Democrats in 2016!",,,,,,,,,,,
"x591642645463572480",2015-04-24 16:39:33,"x2903882167","""We didn’t give up; we didn’t give in; we kept the faith; and kept our eyes on the prize."" – @repjohnlewis http://t.co/lqcyWIIXf7","Twitter Web Client",,,FALSE,FALSE,17,5,,,,,,"http://pbs.twimg.com/media/CDXv2cKUgAIXa2-.png","http://t.co/lqcyWIIXf7","https://twitter.com/ChairmanDCCC/status/591642645463572480/photo/1","photo","http://pbs.twimg.com/media/CDXv2cKUgAIXa2-.png","http://t.co/lqcyWIIXf7","https://twitter.com/ChairmanDCCC/status/591642645463572480/photo/1",,"x29450962","repjohnlewis","en",,,,,,,,,,,,,
"x591642432908865537",2015-04-24 16:38:42,"x2903882167","""Don’t give up, push! The work you do is hard, it’s difficult, but we have to do it!"" – @repjohnlewis http://t.co/MPaFgo6w2d","Twitter Web Client",,,FALSE,FALSE,10,6,,,,,,"http://pbs.twimg.com/media/CDXvqDqVEAAcW2o.png","http://t.co/MPaFgo6w2d","https://twitter.com/ChairmanDCCC/status/591642432908865537/photo/1","photo","http://pbs.twimg.com/media/CDXvqDqVEAAcW2o.png","http://t.co/MPaFgo6w2d","https://twitter.com/ChairmanDCCC/status/591642432908865537/photo/1",,"x29450962","repjohnlewis","en",,,,,,,,,,,,,
"x591642023821647872",2015-04-24 16:37:05,"x2903882167","""You have the energy, you have the dedication, find a way to get the good stuff done, make some noise"" @repjohnlewis http://t.co/23JfwHcxhU","Twitter Web Client",,,FALSE,FALSE,4,2,,,,,,"http://pbs.twimg.com/media/CDXvSPmUIAEsRk0.png","http://t.co/23JfwHcxhU","https://twitter.com/ChairmanDCCC/status/591642023821647872/photo/1","photo","http://pbs.twimg.com/media/CDXvSPmUIAEsRk0.png","http://t.co/23JfwHcxhU","https://twitter.com/ChairmanDCCC/status/591642023821647872/photo/1",,"x29450962","repjohnlewis","en",,,,,,,,,,,,,
"x574348483844534272",2015-03-07 23:18:44,"x2903882167","Crossing the Edmund Pettus bridge #Selma50 http://t.co/mpyIufit3x","Twitter for iPhone",,,FALSE,FALSE,43,47,"Selma50",,,,,"http://pbs.twimg.com/media/B_h-5xBUgAAfOpa.jpg","http://t.co/mpyIufit3x","https://twitter.com/ChairmanDCCC/status/574348483844534272/photo/1","photo","http://pbs.twimg.com/media/B_h-5xBUgAAfOpa.jpg","http://t.co/mpyIufit3x","https://twitter.com/ChairmanDCCC/status/574348483844534272/photo/1",,,,"en",,,,,,,,,,,,,
"x574285606760620033",2015-03-07 19:08:53,"x2903882167","Inspiring morning with Rep. John Lewis and Rep. Gregory Meeks at #Selma50 http://t.co/USBn5WLNhm","Twitter for iPhone",,,FALSE,FALSE,53,38,"Selma50",,,,,"http://pbs.twimg.com/media/B_hFtZQU8AEPYch.jpg","http://t.co/USBn5WLNhm","https://twitter.com/ChairmanDCCC/status/574285606760620033/photo/1","photo","http://pbs.twimg.com/media/B_hFtZQU8AEPYch.jpg","http://t.co/USBn5WLNhm","https://twitter.com/ChairmanDCCC/status/574285606760620033/photo/1",,,,"en",,,,,,,,,,,,,
"x563080457412427776",2015-02-04 21:03:37,"x2903882167","Great news: Rep. @cheribustos will serve as vice chair of our @dccc recruiting team.","Twitter for iPhone",,,FALSE,FALSE,9,27,,,,,,,,,,,,,,"x257180565 14676022","CheriBustos dccc","en",,,,,,,,,,,,,
