ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412661, 0.880201861303, 0.265874964049, Grothman, Republican, lonley conservative Republican follower, 7, 238, 53, 72
412674, 0.675957075045, 0.362550236371, LaHood, Republican, rank-and-file Republican, 8, 123, 107, 144
412670, 0.740836091695, 0.525122812041, Walker, Republican, rank-and-file Republican, 8, 112, 101, 111
412653, 0.790139686555, 0.609101570496, Ratcliffe, Republican, rank-and-file Republican, 10, 149, 105, 157
412619, 0.719492025592, 0.339669903705, Buck, Republican, rank-and-file Republican, 22, 87, 43, 50
412636, 0.702980134236, 0.38013762948, Trott, Republican, rank-and-file Republican, 12, 119, 131, 142
412631, 0.651321854377, 0.483214187454, Graves [LA6], Republican, centrist Republican, 9, 64, 132, 184
412650, 0.709177012021, 0.379213825412, Russell, Republican, rank-and-file Republican, 19, 106, 44, 51
412677, 0.273485021903, 0.00916234478748, Evans, Democrat, moderate Democratic follower, 5, 509, 5, 5
412676, 0.613361988641, 0.13277214697, Comer, Republican, centrist Republican follower , 2, 93, 42, 42
412713, 0.646823595974, 0.314343979341, Bacon, Republican, centrist Republican, 10, 211, 103, 124
412697, 0.418286862609, 0.325523753452, Crist, Democrat, centrist Democrat, 9, 223, 138, 161
412696, 0.398368372144, 0.291296697791, Demings, Democrat, centrist Democratic follower, 5, 204, 144, 145
412719, 0.56199248436, 0.234270482159, Faso, Republican, centrist Republican follower , 12, 198, 73, 122
412721, 0.564443906696, 0.422339523697, Fitzpatrick, Republican, centrist Republican, 26, 300, 173, 285
412690, 0.660441652151, 0.346035710121, Gaetz, Republican, rank-and-file Republican, 11, 204, 102, 155
412723, 0.537955507441, 0.0596822884476, González-Colón, Republican, centrist Republican follower , 12, 110, 14, 33
412684, 0.294719603092, 0.265615779536, Khanna, Democrat, moderate Democratic follower, 7, 440, 105, 199
412716, 0.406089444089, 0.0666931388352, Kihuen, Democrat, centrist Democratic follower, 8, 188, 22, 25
412722, 0.638153888659, 0.234219459271, Smucker, Republican, centrist Republican follower , 10, 154, 56, 67
412717, 0.440650999498, 0.105591573945, Suozzi, Democrat, centrist Democratic follower, 6, 213, 27, 29
412720, 0.604043823128, 0.211173336349, Tenney, Republican, centrist Republican follower , 13, 182, 69, 77
412683, 0.68344291321, 0.379502444345, Biggs, Republican, rank-and-file Republican, 16, 167, 117, 174
412691, 0.645265882491, 0.306671147945, Dunn, Republican, centrist Republican follower , 11, 142, 86, 126
