ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
300087, 0.137156735361, 0.479300806721, Schumer, Democrat, rank-and-file Democrat, 8, 127, 41, 56
400013, 0.16575941398, 0.500949451936, Baldwin, Democrat, rank-and-file Democrat, 38, 343, 77, 273
412490, 0.0384250909218, 0.714883592293, Blumenthal, Democrat, progressive Democratic leader, 44, 393, 64, 284
400034, 0.807650639997, 0.748998884362, Blunt, Republican, moderate Republican leader, 29, 169, 76, 191
412598, 0.200149668924, 0.50097872904, Booker, Democrat, rank-and-file Democrat, 41, 301, 73, 267
400064, 0.175745023466, 0.910810235046, Cardin, Democrat, moderate Democratic leader, 58, 204, 93, 655
300030, 0.831417602877, 0.515216505772, Crapo, Republican, rank-and-file Republican, 24, 131, 92, 248
412205, 0.556441307664, 0.329432223327, Donnelly, Democrat, centrist Democratic follower, 26, 147, 51, 91
300038, 0.0721957694812, 0.672191855155, Durbin, Democrat, progressive Democrat, 39, 296, 63, 314
412378, 0.0148229029114, 0.482978537927, Franken, Democrat, progressive Democrat, 23, 328, 49, 114
412223, 0.0316252910194, 0.617040539892, Gillibrand, Democrat, progressive Democrat, 38, 330, 75, 247
412218, 0.677168494704, 0.597504850366, Heller, Republican, centrist Republican, 53, 157, 99, 257
400194, 0.77031496323, 0.604846239966, Isakson, Republican, rank-and-file Republican, 28, 138, 87, 225
412242, 0.232116572078, 0.720251675636, Klobuchar, Democrat, moderate Democratic leader, 57, 348, 85, 323
400253, 0.00535859327782, 0.488827529737, Markey, Democrat, progressive Democrat, 44, 337, 61, 287
400272, 0.12996565892, 0.915810507945, Menéndez, Democrat, moderate Democratic leader, 41, 209, 72, 351
412325, 0.00635441588391, 0.434426808367, Merkley, Democrat, progressive Democrat, 19, 294, 63, 193
412194, 0.115538275937, 0.343035385839, Murphy, Democrat, rank-and-file Democrat, 23, 187, 47, 168
300081, 0.0650440453539, 0.572888149454, Reed, Democrat, progressive Democrat, 25, 184, 67, 168
412244, 0.437544466669, 0.610763909013, Tester, Democrat, centrist Democrat, 52, 219, 67, 265
412321, 0.396212258046, 0.548405333537, Warner, Democrat, centrist Democrat, 28, 136, 83, 225
412492, 0.758338023265, 0.495550408055, Paul, Republican, rank-and-file Republican, 32, 79, 61, 135
300025, 0.410536638018, 0.725731630106, Collins, Republican, centrist Republican leader, 32, 207, 82, 281
400050, 0.0696836415347, 0.855744049084, Brown, Democrat, progressive Democratic leader, 46, 331, 82, 323
300023, 0.721450511663, 0.151735862728, Cochran, Republican, moderate Republican follower, 3, 109, 1, 2
412545, 0.401879827355, 0.352496494563, King, Independent, centrist Independent, 23, 235, 39, 60
412323, 0.226240730681, 0.718426330194, Shaheen, Democrat, moderate Democratic leader, 47, 277, 75, 309
400413, 0.292847871723, 0.48120823435, Udall, Democrat, rank-and-file Democrat, 32, 199, 52, 171
412542, 0.0436026871332, 0.650966931595, Warren, Democrat, progressive Democrat, 45, 375, 75, 351
412247, 0.0784977432454, 0.489389746482, Whitehouse, Democrat, progressive Democrat, 26, 285, 59, 197
400432, 0.813028215783, 0.628986517004, Wicker, Republican, rank-and-file Republican, 33, 168, 91, 232
300052, 0.810458126902, 0.976022391423, Hatch, Republican, moderate Republican leader, 72, 156, 100, 438
400054, 0.707120231462, 0.421890181639, Burr, Republican, rank-and-file Republican, 23, 83, 57, 91
300027, 0.898890260831, 0.883791111674, Cornyn, Republican, conservative Republican leader, 49, 176, 92, 423
300041, 0.900868910945, 0.513785727913, Enzi, Republican, conservative Republican, 21, 106, 61, 92
300048, 0.749493437162, 0.938752936154, Grassley, Republican, moderate Republican leader, 67, 128, 100, 566
