vote_id,vote_url,outliers
118868,/congress/votes/115-2017/h6,400209 412438 412503
118870,/congress/votes/115-2017/s1,412492
118871,/congress/votes/115-2017/h7,412509
118876,/congress/votes/115-2017/h8,412714 412509
118882,/congress/votes/115-2017/h9,400209 412199
118878,/congress/votes/115-2017/h10,400209
118874,/congress/votes/115-2017/h11,412209 400233 400651 408211 400402 412686 400209 400114 400403 400116 412438 412537 412532 400030
118883,/congress/votes/115-2017/h12,400316
118881,/congress/votes/115-2017/h13,412648 412649 412721 412722 400344 400316
118885,/congress/votes/115-2017/h14,400344 400209 412215
118875,/congress/votes/115-2017/h15,400316
118888,/congress/votes/115-2017/h16,400648 400209 412648
118886,/congress/votes/115-2017/h18,400033 400209 412403 400116 400244 400380
118877,/congress/votes/115-2017/h20,412663 412405 412487
118884,/congress/votes/115-2017/h21,400244 412722 400004 400380
118873,/congress/votes/115-2017/h23,400657 400316
118889,/congress/votes/115-2017/s3,412679 412491 412492 400408 400284 412671
118891,/congress/votes/115-2017/s4,412218
118894,/congress/votes/115-2017/h26,400211
118896,/congress/votes/115-2017/s5,300089 300002
118900,/congress/votes/115-2017/h29,412512 412514 412715 412517 400209 400618 412523 412509 400081 412682 412308 412534 412647 412632 400218 412282
118899,/congress/votes/115-2017/h30,412514 412694 412647 400618 412523 412685 412509 400081 412682 412308 412693 412534 412632 400218 412315 400124 412282
118898,/congress/votes/115-2017/h31,400160 400291 400075 400047 400402 400371 412532 412379 412221 400639
118902,/congress/votes/115-2017/h33,412509 412438
118901,/congress/votes/115-2017/h34,412226 412395 412485 412712 400651 400652 412397 412619 400209 412419 412661 412438 412503 412569 412283 412605 400607
118909,/congress/votes/115-2017/h35,412192 400618 400316
118911,/congress/votes/115-2017/h36,412544 412552 412426 412557 400654 412192 400422 412327 412721 400309 412682 412725 400211 400341 400087 412282 412510 412511 412257 412388 412523 412532 400122
118912,/congress/votes/115-2017/h37,400656 400209 412186 400316
118910,/congress/votes/115-2017/h38,400209
118908,/congress/votes/115-2017/h39,400316
118905,/congress/votes/115-2017/h40,400209 412627 400316
118913,/congress/votes/115-2017/h41,412290 412487 400209 412627 412405 412662 412663 400316
118914,/congress/votes/115-2017/h42,400316
118907,/congress/votes/115-2017/h43,400618 400316 412509
118904,/congress/votes/115-2017/h45,400618 412315 412694
118918,/congress/votes/115-2017/s10,412218 400061 400325
118933,/congress/votes/115-2017/s13,400325
118932,/congress/votes/115-2017/s14,412218
118923,/congress/votes/115-2017/s15,412218
118927,/congress/votes/115-2017/s16,412671 412492 412573 412495
118931,/congress/votes/115-2017/s18,412218
118929,/congress/votes/115-2017/s19,300048 300052
118928,/congress/votes/115-2017/s20,400272 400546 400134 300071 400040 412492 412391 300076 412495 300048 412598 412679 412573
118926,/congress/votes/115-2017/s22,412391
118925,/congress/votes/115-2017/s23,412218
118930,/congress/votes/115-2017/s25,412218
118924,/congress/votes/115-2017/s26,412492
118935,/congress/votes/115-2017/s27,412244 400413 412533
118943,/congress/votes/115-2017/h46,400209
118937,/congress/votes/115-2017/h47,400209 412523 412509
118942,/congress/votes/115-2017/h48,400209 412721
118939,/congress/votes/115-2017/h49,400648 400209 412486 412721
118941,/congress/votes/115-2017/h50,400209 412627 400116
118936,/congress/votes/115-2017/h51,412715 412517 412714 412523 412717 400209 412315 412509 400030
118938,/congress/votes/115-2017/h52,400209 412511 412199
118944,/congress/votes/115-2017/h54,400363 400657 412714 412523 412717 400209 412509 400030
118947,/congress/votes/115-2017/h57,400417 412516 412257 412682 412523 412557 412272 412308 400245 412615 412647 412695 412505 412282 412254
118949,/congress/votes/115-2017/h58,412419 412721 412295 400648 412649 400209 412643 412438 412503
118948,/congress/votes/115-2017/h59,400352 412192 400100 412657 412682 412236 412557 412685 412272 412632 412562 408211 400309 412438 412435 412516 412186 412571 400124 412606
118953,/congress/votes/115-2017/s29,412223
118951,/congress/votes/115-2017/s30,300100 412678 412681 412598 412281 400413 400415
118952,/congress/votes/115-2017/s31,300100 400413 412598
118955,/congress/votes/115-2017/h60,412419 412226 400651 412438 412503
118956,/congress/votes/115-2017/s32,412680 300043 412492 300081 412247 300087 412507
118958,/congress/votes/115-2017/h63,400316 400630
118959,/congress/votes/115-2017/h65,400657 400630
118961,/congress/votes/115-2017/s33,412281 400357 412390 400413
118964,/congress/votes/115-2017/s34,412321
118962,/congress/votes/115-2017/h67,412713 400209 400116 412438 412503 412217 412605 400607
118965,/congress/votes/115-2017/s35,412598 412542 300087
118966,/congress/votes/115-2017/h68,400316
