full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Zoe Lofgren,House,D,Calif.,RepZoeLofgren,,
Elijah E. Cummings,House,D,Md.,RepCummings,,
Gregory W. Meeks,House,D,N.Y.,RepGregoryMeeks,,
Mark DeSaulnier,House,D,Calif.,RepDeSaulnier,,
Rosa DeLauro,House,D,Conn.,rosadelauro,,
Donald M. Payne Jr.,House,D,N.J.,RepDonaldPayne,,
Jeanne Shaheen,Senate,D, N.H.,SenatorShaheen,JeanneShaheen,
Katherine Clark,House,D,Mass.,RepKClark,,
Amy Klobuchar,Senate,D, Minn.,amyklobuchar,,
Earl Blumenauer,House,D,Ore.,BlumenauerMedia,repblumenauer,
Robert C. Scott,House,D,Va.,repdavidscott,,
Paul Tonko,House,D,N.Y.,RepPaulTonko,PaulTonko,
Hank Johnson,House,D,Ga.,RepHankJohnson,HankStaffers,
Lucille Roybal-Allard,House,D,Calif.,RepRoybalAllard,,
Nydia M. Velazquez,House,D,N.Y.,NydiaVelazquez,,
Maxine Waters,House,D,Calif.,MaxineWaters,RepMaxineWaters,
Kamala Harris,Senate,D, Calif.,SenKamalaHarris,KamalaHarris,
Bobby L. Rush,House,D,Ill.,RepBobbyRush,,
Martin Heinrich,Senate,D, N.M.,MartinHeinrich,,
Maria Cantwell,Senate,D, Wash.,SenatorCantwell,,
Hakeem Jeffries,House,D,N.Y.,RepJeffries,,
Bob Casey,Senate,D, Pa.,SenBobCasey,Bob_Casey,
Christopher A. Coons,Senate,D, Del.,SenCoonsOffice,ChrisCoons,
Matt Cartwright,House,D,Pa.,RepCartwright,,
Jackie Speier,House,D,Calif.,RepSpeier,JackieSpeier,
Karen Bass,House,D,Calif.,RepKarenBass,,
Tim Kaine,Senate,D, Va.,timkaine,,
Al Green,House,D,Texas,RepAlGreen,,
Adam Smith,House,D,Wash.,RepAdamSmith,,
Tammy Duckworth,Senate,D, Ill.,SenDuckworth,TammyforIL,
Andre Carson,House,D,Ind.,RepAndreCarson,,
Frank Pallone,House,D,N.J.,FrankPallone,pallonefornj,
Carolyn B. Maloney,House,D,N.Y.,RepMaloney,CarolynBMaloney,
Robin Kelly,House,D,Ill.,RepRobinKelly,,
Sander M. Levin,House,D,Mich.,repsandylevin,,
Suzanne Bonamici,House,D,Ore.,RepBonamici,,
Adam B. Schiff,House,D,Calif.,RepAdamSchiff,,
Grace Meng,House,D,N.Y.,RepGraceMeng,,
Chellie Pingree,House,D,Maine,chelliepingree,,
Margaret Hassan,Senate,D, N.H.,SenatorHassan,,
Danny K. Davis,House,D,Ill.,RepDannyDavis,,
Ted Lieu,House,D,Calif.,RepTedLieu,,
Marcy Kaptur,House,D,Ohio,RepMarcyKaptur,,
Niki Tsongas,House,D,Mass.,nikiinthehouse,,
