full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Steve Stivers,House,R,Ohio,RepSteveStivers,,
Markwayne Mullin,House,R,Okla.,RepMullin,,
Ron Johnson,Senate,R, Wis.,SenRonJohnson,RonJohnsonWI,
Dennis Ross,House,R,Fla.,RepDennisRoss,,
Keith Rothfus,House,R,Pa.,KeithRothfus,,
Lou Barletta,House,R,Pa.,RepLouBarletta,louforsenate,
John Thune,Senate,R, S.D.,SenJohnThune,johnthune,
Ann Wagner,House,R,Mo.,RepAnnWagner,AnnLWagner,
Jim Bridenstine,House,R,Okla.,RepJBridenstine,,
Mike Rounds,Senate,R, S.D.,SenatorRounds,,
John J. Duncan Jr.,House,R,Tenn.,RepJohnDuncanJr,,
John Culberson,House,R,Texas,CongCulberson,johnculberson,
Roger Williams,House,R,Texas,RepRWilliams,,
Jason Smith,House,R,Mo.,RepJasonSmith,,
Jody Hice,House,R,Ga.,CongressmanHice,,
David Perdue,Senate,R, Ga.,sendavidperdue,Perduesenate,
David Schweikert,House,R,Ariz.,RepDavid,,
Rick Allen,House,R,Ga.,RepRickAllen,,
Sam Johnson,House,R,Texas,SamsPressShop,,
Bill Posey,House,R,Fla.,congbillposey,,
John Boozman,Senate,R, Ark.,JohnBoozman,Boozman4AR,
Bill Huizenga,House,R,Mich.,RepHuizenga,,
Chris Stewart,House,R,Utah,RepChrisStewart,,
Deb Fischer,Senate,R, Neb.,SenatorFischer,,
Bradley Byrne,House,R,Ala.,RepByrne,,
Tom McClintock,House,R,Calif.,RepMcClintock,,
James Lankford,Senate,R, Okla.,SenatorLankford,,
Tom Cotton,Senate,R, Ark.,SenTomCotton,TomCottonAR,
Mike Kelly,House,R,Pa.,MikeKellyPA,,
Tim Scott,Senate,R, S.C.,SenatorTimScott,votetimscott,
Bob Gibbs,House,R,Ohio,RepBobGibbs,,
Mike Lee,Senate,R, Utah,SenMikeLee,,
Lynn Jenkins,House,R,Kan.,RepLynnJenkins,,
Blaine Luetkemeyer,House,R,Mo.,RepBlainePress,,
Glenn Grothman,House,R,Wis.,RepGrothman,,
Bill Johnson,House,R,Ohio,RepBillJohnson,,
Jeb Hensarling,House,R,Texas,RepHensarling,,
Andy Barr,House,R,Ky.,RepAndyBarr,,
Steven J. Chabot,House,R,Ohio,RepSteveChabot,,
David Rouzer,House,R,N.C.,RepDavidRouzer,,
Diane Black,House,R,Tenn.,RepDianeBlack,DianeBlackTN,
Doug Lamborn,House,R,Colo.,RepDLamborn,,
Richard Hudson,House,R,N.C.,RepRichHudson,,
Steve King,House,R,Iowa,SteveKingIA,,
Billy Long,House,R,Mo.,USRepLong,,
Robert E. Latta,House,R,Ohio,boblatta,,
Lamar Smith,House,R,Texas,LamarSmithTX21,,
Andy Harris,House,R,Md.,RepAndyHarrisMD,,
Mo Brooks,House,R,Ala.,RepMoBrooks,,
Steven Palazzo,House,R,Miss.,CongPalazzo,,
John Cornyn,Senate,R, Texas,JohnCornyn,TeamCornyn,
Joe Wilson,House,R,S.C.,RepWilson,CongJoeWilson,
Tim Walberg,House,R,Mich.,RepWalberg,,
Scott DesJarlais,House,R,Tenn.,DesJarlaisTN04,,
Michael B. Enzi,Senate,R, Wyo.,SenatorEnzi,,
Luke Messer,House,R,Ind.,RepLukeMesser,LukeMesserIN,
Austin Scott,House,R,Ga.,AustinScottGA08,,
Jim Risch,Senate,R, Idaho,SenatorRisch,,
Vicky Hartzler,House,R,Mo.,RepHartzler,,
Randy Weber,House,R,Texas,TXRandy14,,
Ted Cruz,Senate,R, Texas,SenTedCruz,tedcruz,TeamTedCruz
Ted Yoho,House,R,Fla.,RepTedYoho,,
Steve Pearce,House,R,N.M.,RepStevePearce,Pearce4NM,
John Barrasso,Senate,R, Wyo.,SenJohnBarrasso,,
Kenny Marchant,House,R,Texas,RepKenMarchant,,
Louie Gohmert,House,R,Texas,replouiegohmert,,
Bill Flores,House,R,Texas,RepBillFlores,,
Brian Babin,House,R,Texas,RepBrianBabin,,
Mark Meadows,House,R,N.C.,RepMarkMeadows,,
Robert Pittenger,House,R,N.C.,RepPittenger,,
Blake Farenthold,House,R,Texas,farenthold,,
Doug LaMalfa,House,R,Calif.,RepLaMalfa,,
Pat Roberts,Senate,R, Kan.,SenPatRoberts,PatRoberts,SenateAgGOP
Todd Rokita,House,R,Ind.,ToddRokita,ToddRokitaIN,
Marsha Blackburn,House,R,Tenn.,MarshaBlackburn,VoteMarsha,
Paul Gosar,House,R,Ariz.,RepGosar,,
Phil Roe,House,R,Tenn.,DrPhilRoe,,
Kevin Cramer,House,R,N.D.,RepKevinCramer,,
Pete Olson,House,R,Texas,RepPeteOlson,PeteOlson,
Pete Sessions,House,R,Texas,PeteSessions,,
James M. Inhofe,Senate,R, Okla.,InhofePress,,
Jeffrey Duncan,House,R,S.C.,RepJeffDuncan,,
