"Mention","Frequency"
"GrahamBlog",226
"gretawire",55
"FaceTheNation",44
"FoxNews",39
"SenJohnMcCain",30
"CNN",29
"CNNSotu",26
"KellyAyotte",26
"kilmeade",23
"MeetThePress",21
"seanhannity",20
"foxandfriends",19
"GovMikeHuckabee",19
"nikkihaley",19
"TGowdySC",17
"SenatorTimScott",15
"hughhewitt",13
"talk945",13
"KevinDBishop",12
"LindseyGrahamSC",12
"radiotalkermike",11
"GreenvilleNews",10
"politico",10
"SCPorts",10
"thehill",10
"FoxNewsSunday",9
"SBAList",9
"aikenstandard",8
"BillGates",7
"greta",7
"JaySekulow",7
"megynkelly",7
"SenatorDurbin",7
"thestate",7
"CeliaUrquhart",6
"CNNSitRoom",6
"jphilipland",6
"Live5News",6
"nrlc",6
"SCNationalGuard",6
"vaninsc",6
"wolfblitzer",6
"WVOCColumbia",6
"alicejames",5
"AmericanLegion",5
"AUL",5
"BretBaier",5
"ForeignPolicyI",5
"foxcarolinanews",5
"HappeningNow",5
"JimDeMint",5
"marjoriesba",5
"MedvedSHOW",5
"newtgingrich",5
"Pontifex",5
"RepJeffDuncan",5
"SenMikeLee",5
"SpeakerBoehner",5
"TeamCavuto",5
"ThisWeekABC",5
"WilliamJBennett",5
"943WSC",4
"ABCNews4",4
"AmericaNewsroom",4
"AP",4
"BenAffleck",4
"BoeingAirplanes",4
"ConcernedVets",4
"CUFI",4
"CWforA",4
"davidgregory",4
"jasoninthehouse",4
"Josh_Kimbrell",4
"kelly_golden",4
"KevenCohen",4
"LeoShane",4
"netanyahu",4
"postandcourier",4
"ProjChildSafe",4
"twzeigler",4
"WCBD",4
"WSJ",4
"60Minutes",3
"AIPAC",3
"BarackObama",3
"BillHemmer",3
"bobonword",3
"briankilmeade",3
"ByronYork",3
"ChadPergram",3
"CharlestonCorps",3
"ClemsonPrez",3
"ClemsonUniv",3
"CongJoeWilson",3
"DanaBashCNN",3
"dcexaminer",3
"DolphBell",3
"DTrott400m",3
"foxnewsradio",3
"FRCdc",3
"GStephanopoulos",3
"HuckabeeShow",3
"independentmail",3
"JoeLieberman",3
"JoeNBC",3
"KellyNashRadio",3
"marthamaccallum",3
"NewDay",3
"PYNance",3
"sarah_scherer",3
"SCEMD",3
"SenatorWicker",3
"SMCSC",3
"SteveDaines",3
"tgowdy",3
"tperkins",3
"USAShooting",3
"USMC",3
"VP",3
"weeklystandard",3
"wis10",3
"WLTX",3
"AEIfdp",2
"AGAlanWilson",2
"AndrewNBCNews",2
"bobschieffer",2
"CarrieNBCNews",2
"CBSNews",2
"chris_moody",2
"chuckschumer",2
"chucktodd",2
"ClemsonFB",2
"CNNgo",2
"CriBlack",2
"Crossfire",2
"foxnewstalk",2
"FRCAction",2
"general__lee_",2
"GovChristie",2
"GretchenCarlson",2
"henrymcmaster",2
"InvestOconeeSC",2
"JohnKingUSA",2
"JonathonRush",2
"joniernst",2
"JRubinBlogger",2
"kasie",2
"LBauldTurner",2
"marcorubio",2
"MariaBartiromo",2
"MilitaryOfficer",2
"MilkenInstitute",2
"mspearma",2
"NBCNews",2
"NSSF",2
"RandPaul",2
"RebeccaShabad",2
"RonBarnett999",2
"RRNEWS12",2
"SaxbyChambliss",2
"SCPatchPolitics",2
"SeftonIpock",2
"SenatePress",2
"SenFeinstein",2
"SenSanders",2
"SenSchumer",2
"SenTedCruz",2
"ShannonBream",2
"SpecialReport",2
"SundayFutures",2
"tedcruz",2
"TheBrodyFile",2
"TheCELLorg",2
"thetopstory_",2
"ThisHour",2
"tombrokaw",2
"UofSC",2
"USGLC",2
"USRepJoeWilson",2
"VanJones68",2
"Walgreens",2
"WashTimes",2
"wexler",2
"winthropu",2
