"Hashtag","Frequency"
"WV",977
"ICYMI",34
"SOTU",30
"CatchingUpWithJoe",26
"VeteransDay",24
"MinersProtectionAct",22
"IranDeal",18
"KeystoneXL",18
"wvflood",17
"ACA",14
"veterans",14
"HailWV",12
"WVians",12
"ClimateCommonSense",11
"OpioidEpidemic",11
"Talkline",11
"Veterans",11
"ThisIsWV",10
"CARA",9
"LWCF",9
"CommonSenseOnClimate",8
"EqualPay",8
"KeepThePromise",8
"SCOTUS",8
"taxreform",8
"wvchemleak",8
"CHIP",7
"DeVos",7
"FlagDay",7
"HollowDC",7
"ISIS",7
"PearlHarbor",7
"PressVirginia",7
"smallbiz",7
"VA",7
"BridgeDay",6
"ESEA",6
"GiveBack",6
"LaborDay",6
"MemorialDay",6
"MinersDay",6
"SmallBizSat",6
"TBT",6
"WOTUS",6
"WVFlood",6
"WWII",6
"Zohydro",6
"EndTheOpioidCrisis",5
"ESSA",5
"Future4Coal",5
"GivingTuesday",5
"IHireVets",5
"MakeWVDrugFree",5
"MarchMadness",5
"MLKDay",5
"Mountaineers",5
"RaiseTheWage",5
"shutdown",5
"STEM",5
"Thanksgiving",5
"USA",5
"WeAreMarshall",5
"WestVirginia",5
"WVCBW",5
"WVU",5
"Big12MBB",4
"ConstitutionDay",4
"FindYourPark",4
"FiscalSummit",4
"GrandparentsDay",4
"HealthcareBill",4
"July4th",4
"LetsGoMountaineers",4
"LifeBOAT",4
"MPA",4
"NationalMinersDay",4
"NeverForget",4
"opioidepidemic",4
"RI",4
"SASC",4
"SheIsTheFirst",4
"Syria",4
"UBB",4
"USSYP",4
"WVDay",4
"WVParkoftheWeek",4
"WVSSAC",4
"AlmostHeaven",3
"ArmedForcesDay",3
"centerseat",3
"ClayHuntSAVAct",3
"CleanPowerPlan",3
"Crossfire",3
"ENDALZ",3
"EndHungerNow",3
"EqualPayDay",3
"EqualPayNow",3
"ExIm4Jobs",3
"GOLD2015",3
"gotowv",3
"GoToWV",3
"Hanukkah",3
"highwaybill",3
"HonorFlight",3
"HungerActionMonth",3
"infrastructure",3
"InfrastructureWeek",3
