"Mention","Frequency"
"PattyMurray",290
"SecretaryZinke",184
"SenateGOP",92
"SenateDems",74
"BetsyDeVosED",49
"PPFA",46
"HELPCmteDems",30
"SenAlexander",19
"SenatorCantwell",19
"POTUS",15
"usedgov",13
"EPA",12
"HHSGov",12
"Senate_GOP",12
"SenSchumer",12
"VP",12
"SecPriceMD",11
"SenSanders",10
"FCC",9
"MoveOn",9
"realDonaldTrump",9
"seattletimes",9
"RonWyden",7
"USDOL",7
"UW",7
"DeptVetAffairs",6
"EverettHerald",6
"HUDgov",6
"Swedish",6
"thecolumbian",6
"AjitPaiFCC",5
"alexlordo",5
"pearsondavidl",5
"wsu",5
"ZagMBB",5
"CecileRichards",4
"NIH",4
"RyanZinke",4
"SenFeinstein",4
"SenWarren",4
"SpokesmanReview",4
"SteveMc65153992",4
"WildOlympics",4
"amprog",3
"EarthEconomics",3
"EdProgress",3
"GoodJobsNation",3
"Interior",3
"LittleLobbyists",3
"LULAC",3
"MarysPlaceWA",3
"MnhtnProjectNPS",3
"MsKatrinaLyon",3
"PSNSandIMF",3
"PVA1946",3
"rosadelauro",3
"seattlestorm",3
"SenatorBaldwin",3
"SenatorBarb",3
"SenBlumenthal",3
"SenDuckworth",3
"SenJeffMerkley",3
"Sunny_Jeni",3
"TacomaHousing",3
"UWMedicine",3
"Wenatcheeworld",3
"AmericanLegion",2
"awbolympia",2
"BernieSanders",2
"brightlegr",2
"BrittneyBush",2
"CamilleHackler",2
"CDCgov",2
"CPBmedia",2
"Crosscut",2
"crumpletrump",2
"DAVHQ",2
"desc",2
"EDcivilrights",2
"edworkforcedems",2
"emilymbender",2
"facebook",2
"fredhutch",2
"FTA_DOT",2
"GOP",2
"GovInslee",2
"Guttmacher",2
"ham_linds",2
"hannon1980",2
"Havokpuppy",2
"HeadStartgov",2
"HRC",2
"JackRevered",2
"JanShan12",2
"jimmykimmel",2
"julienegrin",2
"Karenlsullivan9",2
"KendraDrake94",2
"MatsikoICN",2
"MickMulvaneyOMB",2
"mmightie",2
"MSNBC",2
"MyCommTrans",2
"NancyPelosi",2
"NARAL",2
"NationalPrks",2
"NEAarts",2
"NEHgov",2
"NickTayer",2
"NPWF",2
"nwlc",2
"PPact",2
"RepDelBene",2
"RepJayapal",2
"Rewire_News",2
"rhymes_w_ferret",2
"RWJF",2
"Seahawks",2
"seapara29",2
"SenatorEnzi",2
"SenatorHassan",2
"SenatorMenendez",2
"SenGillibrand",2
"SenJohnMcCain",2
