"govTrack_id","full_name","chamber","party","state","bin","govTrack_desc","govTrack_ideology","proPub_votesAgainstParty","user_id","name","screen_name","location","description","statuses_count","followers_count","friends_count","favourites_count","verified","account_created_at","profile_expanded_url","profile_image_url"
"x412542","Elizabeth Warren","Senate","D"," Mass.",1," progressive Democrat",0.0436026871332,"18.3%","x357606935","Elizabeth Warren","elizabethforma","Massachusetts","United States Senator from Massachusetts.",1891,2005616,300,0,TRUE,"2011-08-18 16:43:48","http://my.elizabethwarren.com/page/s/joinourfight","http://pbs.twimg.com/profile_images/812295357799378944/OwDjRMnR_normal.jpg"
"x412542","Elizabeth Warren","Senate","D"," Mass.",1," progressive Democrat",0.0436026871332,"18.3%","x970207298","Elizabeth Warren","SenWarren","","Official twitter account of Senator Elizabeth Warren of Massachusetts.",2900,4244607,260,8,TRUE,"2012-11-25 15:14:27","http://warren.senate.gov","http://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg"
"x300081","Jack Reed","Senate","D"," R.I.",1," progressive Democrat",0.0650440453539,"5.0%","x486694111","Senator Jack Reed","SenJackReed","Providence, Rhode Island","Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.",4926,68260,32,93,TRUE,"2012-02-08 15:24:01","http://www.reed.senate.gov","http://pbs.twimg.com/profile_images/611042380846907393/L-JV9zuJ_normal.jpg"
"x400050","Sherrod Brown","Senate","D"," Ohio",2," progressive Democratic leader",0.0696836415347,"5.0%","x24768753","Sherrod Brown","SherrodBrown","Ohio","Official account for Sherrod Brown's Senate campaign.   Tweets from Sherrod are signed -SB.",3849,29024,5297,3,TRUE,"2009-03-16 21:01:17","http://www.sherrodbrown.com","http://pbs.twimg.com/profile_images/963542113341313029/kjsrWC_n_normal.jpg"
"x400050","Sherrod Brown","Senate","D"," Ohio",2," progressive Democratic leader",0.0696836415347,"5.0%","x43910797","Sherrod Brown","SenSherrodBrown","Cleveland, OH","Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.",4367,336112,204,56,TRUE,"2009-06-01 16:07:45","http://brown.senate.gov","http://pbs.twimg.com/profile_images/523158370333638657/cLmYIfYa_normal.jpeg"
"x300038","Richard J. Durbin","Senate","D"," Ill.",2," progressive Democrat",0.0721957694812,"6.0%","x247334603","Senator Dick Durbin","SenatorDurbin","","Serving the people of Illinois. Democratic Whip.",11086,516080,2433,577,TRUE,"2011-02-04 15:50:42","http://durbin.senate.gov","http://pbs.twimg.com/profile_images/871723567456686081/fbJgQgO1_normal.jpg"
"x412247","Sheldon Whitehouse","Senate","D"," R.I.",2," progressive Democrat",0.0784977432454,"4.5%","x242555999","Sheldon Whitehouse","SenWhitehouse","Rhode Island","U.S. Senator from Rhode Island, the Ocean State.",8023,236605,1670,69,TRUE,"2011-01-25 01:52:03","http://whitehouse.senate.gov/","http://pbs.twimg.com/profile_images/378800000051321410/55ff7ed4f6264c8eec19a81a66be6bb0_normal.png"
"x412215","Keith Ellison","House","D","Minn.",2," progressive Democrat",0.0869411329507,"7.8%","x45895089","Ellison for Congress","EllisonCampaign","Minneapolis, MN","Official Twitter account of the Keith Ellison for U.S. Congress campaign. Tweets by @keithellison and @EllisonCampaign staff.",4062,22450,5643,466,TRUE,"2009-06-09 17:53:24","http://keithellison.org","http://pbs.twimg.com/profile_images/464051461668601856/HggFMA7Z_normal.jpeg"
"x412215","Keith Ellison","House","D","Minn.",2," progressive Democrat",0.0869411329507,"7.8%","x14135426","Rep. Keith Ellison","keithellison","Minneapolis — Washington, D.C.","Member of Congress from Minnesota's Fifth District. Vice Chair & Labor Liaison, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",19915,364734,6733,681,TRUE,"2008-03-12 21:38:12","http://ellison.house.gov","http://pbs.twimg.com/profile_images/933459448026218496/9hWEp7Qx_normal.jpg"
"x400263","Jim McGovern","House","D","Mass.",2," progressive Democrat",0.104017006997,"6.3%","x242426145","Jim McGovern","RepMcGovern","Massachusetts","Proudly representing the people of the 2nd District of Massachusetts.",7731,36563,506,71,TRUE,"2011-01-24 19:18:36","http://mcgovern.house.gov","http://pbs.twimg.com/profile_images/721693548572254208/NIfPFRbU_normal.jpg"
"x412507","Brian Schatz","Senate","D"," Hawaii",2," rank-and-file Democrat",0.104128452789,"7.0%","x47747074","Brian Schatz","brianschatz","ÜT: 19.72105,-155.087417","United States Senator from Hawaii. Dad. Climate Hawk. Tech Advocate. Appropriator. Chief Deputy Whip.",7024,103859,2002,1784,TRUE,"2009-06-16 21:54:28","http://www.brianschatz.com","http://pbs.twimg.com/profile_images/840179285440757761/McwUAXF8_normal.jpg"
"x412507","Brian Schatz","Senate","D"," Hawaii",2," rank-and-file Democrat",0.104128452789,"7.0%","x1284467173","Team Schatz","SchatzforHawaii","","Follow this account to keep track of Senator Brian Schatz's campaign and to learn more about how you can help in your area!",210,1201,1788,0,TRUE,"2013-03-20 22:41:07","http://www.brianschatz.com/","http://pbs.twimg.com/profile_images/467443612913893376/pRt4SdJi_normal.jpeg"
"x412507","Brian Schatz","Senate","D"," Hawaii",2," rank-and-file Democrat",0.104128452789,"7.0%","x1262099252","Senator Brian Schatz","SenBrianSchatz","","Tweets from the Office of U.S. Senator Brian Schatz, representing the great state of Hawaii.",1383,30405,1408,26,TRUE,"2013-03-12 14:23:20","http://www.schatz.senate.gov/","http://pbs.twimg.com/profile_images/849770568677298176/dzXWNsOx_normal.jpg"
"x412200","Mazie K. Hirono","Senate","D"," Hawaii",2," rank-and-file Democrat",0.10426402534,"9.3%","x92186819","Senator Mazie Hirono","maziehirono","Hawaii","U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii",4921,195238,1242,71,TRUE,"2009-11-24 03:10:37","http://www.hirono.senate.gov","http://pbs.twimg.com/profile_images/943313772785164288/svG7qRs8_normal.jpg"
"x400360","Jan Schakowsky","House","D","Ill.",2," progressive Democrat",0.115237652727,"6.1%","x24195214","Jan Schakowsky","janschakowsky","Chicago, IL","Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",6069,35501,1280,261,TRUE,"2009-03-13 16:03:17","http://facebook.com/janschakowsky","http://pbs.twimg.com/profile_images/778943630123958276/Tg3a8mgI_normal.jpg"
"x412194","Christopher S. Murphy","Senate","D"," Conn.",2," rank-and-file Democrat",0.115538275937,"5.3%","x150078976","Chris Murphy","ChrisMurphyCT","","U.S. Senator, Connecticut.",15744,663710,178,882,TRUE,"2010-05-31 01:22:43","https://chrismurphy.com/","http://pbs.twimg.com/profile_images/871076844904361985/7NorOQHB_normal.jpg"
"x300076","Patty Murray","Senate","D"," Wash.",2," rank-and-file Democrat",0.120571418986,"3.4%","x158470209","Senator Patty Murray","MurrayCampaign","","Senior U.S. Senator from the great state of Washington.",1683,16118,401,19,TRUE,"2010-06-22 19:55:00","http://pattymurray.com","http://pbs.twimg.com/profile_images/938868245691551745/sc3_qTA3_normal.jpg"
"x300076","Patty Murray","Senate","D"," Wash.",2," rank-and-file Democrat",0.120571418986,"3.4%","x293131808","Senator Patty Murray","PattyMurray","WA & DC","Official account of U.S. Senator Patty Murray (D-WA) | Tweets come from staff unless signed “-PM” by Senator Murray | RT≠endorsement",12604,403697,2165,200,TRUE,"2011-05-04 20:23:35","http://murray.senate.gov/","http://pbs.twimg.com/profile_images/430384292917555200/ULj2LMsW_normal.jpeg"
"x400272","Robert Menendez","Senate","D"," N.J.",3," moderate Democratic leader",0.12996565892,"5.7%","x18695134","Senator Bob Menendez","SenatorMenendez","","Proudly serving the State of New Jersey in the United States Senate.",7087,143571,903,418,TRUE,"2009-01-06 21:01:12","http://menendez.senate.gov","http://pbs.twimg.com/profile_images/870757485799460864/9wPt2RH9_normal.jpg"
"x412221","Yvette D. Clarke","House","D","N.Y.",3," progressive Democrat",0.134014592441,"6.3%","x240812994","Yvette D. Clarke","RepYvetteClarke","Brooklyn, NY","Serving NY's 9th District. Chair, Multicultural Media Caucus; Co-Chair, Black Women & Girls Caucus; Co-Chair, Caribbean Caucus, At-Large Member @OfficialCBC.",11214,41233,3823,7210,TRUE,"2011-01-20 20:14:21","http://clarke.house.gov","http://pbs.twimg.com/profile_images/965640523963949056/OOy02oXO_normal.jpg"
"x400661","Gwen Moore","House","D","Wis.",3," progressive Democrat",0.136237909102,"6.5%","x22669526","Rep. Gwen Moore","RepGwenMoore","Washington, DC","Honored to represent Wisconsin’s 4th Congressional District. Proud mother, grandmother & great-grandmother. Loves poetry reading, knitting & crocheting.",5801,30501,2685,631,TRUE,"2009-03-03 20:02:57","http://www.house.gov/gwenmoore","http://pbs.twimg.com/profile_images/894941709703970816/IYCLChld_normal.jpg"
"x300087","Charles E. Schumer","Senate","D"," N.Y.",3," rank-and-file Democrat",0.137156735361,"5.3%","x17494010","Chuck Schumer","SenSchumer","New York, NY","Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement",12480,1390996,26303,187,TRUE,"2008-11-19 20:10:20","http://schumer.senate.gov","http://pbs.twimg.com/profile_images/940948640855674880/48ycUgvr_normal.jpg"
"x412520","Mark Takano","House","D","Calif.",3," progressive Democrat",0.143417975945,"6.0%","x1037321378","Mark Takano","RepMarkTakano","Riverside, CA","Proudly Representing California's 41st District. Member: @VetAffairsDems, @edworkforcedems, @SciCmteDems.",2475,46006,308,134,TRUE,"2012-12-26 14:58:17","http://takano.house.gov","http://pbs.twimg.com/profile_images/378800000829724857/328a666c984a5bd66583208f12fb8e2d_normal.jpeg"
"x300043","Dianne Feinstein","Senate","D"," Calif.",3," moderate Democratic leader",0.154312152342,"6.8%","x378631423","Dianne Feinstein","DianneFeinstein","California, USA","Moving America forward.",225,4870,315,0,TRUE,"2011-09-23 14:53:07","http://www.feinsteinforca.com","http://pbs.twimg.com/profile_images/1799393575/feinstein_normal.jpg"
"x300043","Dianne Feinstein","Senate","D"," Calif.",3," moderate Democratic leader",0.154312152342,"6.8%","x476256944","Sen Dianne Feinstein","SenFeinstein","California","United States Senator from California. On Facebook at: http://t.co/siExqwIu",6454,950907,223,1,TRUE,"2012-01-27 23:06:59","http://www.feinstein.senate.gov","http://pbs.twimg.com/profile_images/789490839940661249/t0nTT2sM_normal.jpg"
"x412379","Judy Chu","House","D","Calif.",3," progressive Democrat",0.156523124428,"5.8%","x193732179","Judy Chu","RepJudyChu","Pasadena, CA","Proudly representing California's 27th District in the U.S. House of Representatives. Ways and Means. Small Business. Chair of @CAPAC.",4237,46704,21696,162,TRUE,"2010-09-22 15:18:17","http://chu.house.gov","http://pbs.twimg.com/profile_images/378800000660180425/626ed3754e3c64e47ce8a9d1cdf66ef7_normal.jpeg"
"x400199","Barbara Lee","House","D","Calif.",3," progressive Democrat",0.161007626971,"6.4%","x248735463","Rep. Barbara Lee","RepBarbaraLee","Washington, DC and Oakland, CA","Progressive Democrat representing the #EastBay in Congress. Promoting economic & racial justice, peace, & human rights. Proud member of the #resistance.",7273,174158,16416,3114,TRUE,"2011-02-07 16:28:28","https://lee.house.gov/","http://pbs.twimg.com/profile_images/831276027674558470/o7pTafU9_normal.jpg"
"x400289","Jerrold Nadler","House","D","N.Y.",3," progressive Democratic leader",0.162134626239,"6.7%","x40302336","(((Rep. Nadler)))","RepJerryNadler","New York, NY","Representing parts of Manhattan and Brooklyn. I serve as Ranking Member of @HouseJudDems. Follow me at https://t.co/eAS0pRYbYu",4442,50901,1779,288,TRUE,"2009-05-15 18:37:39","http://nadler.house.gov","http://pbs.twimg.com/profile_images/378800000675065729/bbd633a57e8333412d6147bbc077427d_normal.jpeg"
"x400013","Tammy Baldwin","Senate","D"," Wis.",3," rank-and-file Democrat",0.16575941398,"3.6%","x87510313","Tammy Baldwin","tammybaldwin","Wisconsin","Campaign account for Senator Tammy Baldwin. Tweets by staff. Tweets from Tammy signed — TB.",3598,38702,4708,15,TRUE,"2009-11-04 19:20:25","http://www.tammybaldwin.com","http://pbs.twimg.com/profile_images/870601328979886082/6dz4CQhM_normal.jpg"
