"govTrack_id","full_name","lastName","middleName","firstName","chamber","party","partyName","state","govTrack_desc","govTrack_ideology","govTrack_leadership","propublica_url","proPub_sponsoredBills","proPub_cosponsoredBills","proPub_votesAgainstParty","proPub_missedVotes","twitter_url","user_id","name","screen_name","location","description","url","verified","statuses_count","followers_count","friends_count","favourites_count","listed_count","account_created_at","account_lang","profile_url","profile_expanded_url","profile_image_url","profile_banner_url","profile_background_url"
412702,"Jim Banks","Banks","","Jim","House","R"," Republican","Ind."," moderate Republican follower",0.690802565745,0.202366923297,"https://projects.propublica.org/represent/members/B001299-jim-banks",16,178,"2.5%","0.3%","https://twitter.com/RepJimBanks","x816131319033950208","Jim Banks","RepJimBanks","Indiana's 3rd District","Official account of U.S. Congressman Jim Banks (IN-3).","https://t.co/Uxbf6p28Ch",TRUE,1626,4847,1550,110,248,"2017-01-03 03:57:24","en","https://t.co/Uxbf6p28Ch","http://banks.house.gov/","http://pbs.twimg.com/profile_images/816138841891491840/uap2IHCv_normal.jpg","https://pbs.twimg.com/profile_banners/816131319033950208/1483418000",NA
412469,"Lou Barletta","Barletta","","Lou","House","R"," Republican","Pa."," rank-and-file Republican",0.843037659791,0.585644217113,"https://projects.propublica.org/represent/members/B001269-lou-barletta",14,189,"5.2%","7.4%","https://twitter.com/RepLouBarletta","x239871673","Rep. Lou Barletta","RepLouBarletta","","Proudly representing Pennsylvania's 11th Congressional District.","http://t.co/2bjJjbvMJ2",TRUE,2666,21950,1744,301,865,"2011-01-18 16:37:10","en","http://t.co/2bjJjbvMJ2","http://barletta.house.gov/","http://pbs.twimg.com/profile_images/378800000575978494/4c44fc43515e33320fa3013a5642ea97_normal.jpeg","https://pbs.twimg.com/profile_banners/239871673/1483477333","http://pbs.twimg.com/profile_background_images/377796301/x171c2955750f7fb7ee31ce27d17150d.jpg"
412541,"Andy Barr","Barr","","Andy","House","R"," Republican","Ky."," conservative Republican",0.884281469108,0.727147473927,"https://projects.propublica.org/represent/members/B001282-andy-barr",18,187,"3.6%","2.0%","https://twitter.com/RepAndyBarr","x1089334250","Rep. Andy Barr","RepAndyBarr","Lexington, KY","Honored to represent Kentucky's Sixth Congressional District.  Fighting to get Kentuckians back to work and restore fiscal responsibility to Washington","http://t.co/XNnauaj5",TRUE,2916,15583,1197,129,572,"2013-01-14 15:29:49","en","http://t.co/XNnauaj5","http://barr.house.gov","http://pbs.twimg.com/profile_images/648576649143943169/DGzR6q1Q_normal.jpg","https://pbs.twimg.com/profile_banners/1089334250/1392572667","http://pbs.twimg.com/profile_background_images/438688574079115264/6BzY2umR.jpeg"
412687,"Nanette Barragan","Barragan","","Nanette","House","D"," Democrat","Calif."," moderate Democratic follower",0.317748065482,0.200931354841,"https://projects.propublica.org/represent/members/B001300-nanette-barrag%C3%A1n",8,298,"5.5%","3.4%","https://twitter.com/RepBarragan","x816833925456789505","Nanette D. Barragán","RepBarragan","San Pedro, CA","Official account. Honored to represent California's 44th Congressional District. #CA44 Member of the @HispanicCaucus @USProgressives @Dodgers fan.","https://t.co/Mt3nPi7hSH",TRUE,1834,6250,526,462,288,"2017-01-05 02:29:18","en","https://t.co/Mt3nPi7hSH","http://www.barragan.house.gov","http://pbs.twimg.com/profile_images/827650875573280768/PZit1YuO_normal.jpg","https://pbs.twimg.com/profile_banners/816833925456789505/1517687570",NA
400018,"Joe L. Barton","Barton","L.","Joe","House","R"," Republican","Texas"," rank-and-file Republican",0.757760363651,0.708257879654,"https://projects.propublica.org/represent/members/B000213-joe-l-barton",3,86,"4.7%","3.0%","https://twitter.com/RepJoeBarton","x19929362","Joe Barton","RepJoeBarton","Ennis, TX","I work for the people of the 6th District of Texas and am honored to represent them in Washington.","http://t.co/UcrfIiWGdl",TRUE,2079,28044,333,54,1451,"2009-02-02 20:30:20","en","http://t.co/UcrfIiWGdl","http://www.joebarton.house.gov","http://pbs.twimg.com/profile_images/818882598797766657/sVHBdBRJ_normal.jpg","https://pbs.twimg.com/profile_banners/19929362/1484071854","http://abs.twimg.com/images/themes/theme1/bg.png"
412404,"Karen Bass","Bass","","Karen","House","D"," Democrat","Calif."," moderate Democratic leader",0.254654047605,0.720646466071,"https://projects.propublica.org/represent/members/B001270-karen-bass",16,221,"6.3%","7.1%","https://twitter.com/RepKarenBass","x239949176","Congressmember Bass","RepKarenBass","Los Angeles & Washington","Representing California's 37th District, which includes Los Angeles, South LA, and Culver City. https://t.co/XHzgMSAQAc","http://t.co/1QNH7tmurQ",TRUE,4057,72086,14371,690,1687,"2011-01-18 20:25:36","en","http://t.co/1QNH7tmurQ","http://karenbass.house.gov","http://pbs.twimg.com/profile_images/605458297475317761/P1AjUUex_normal.jpg","https://pbs.twimg.com/profile_banners/239949176/1433187461","http://pbs.twimg.com/profile_background_images/199025462/Twitter.png"
412565,"Joyce Beatty","Beatty","","Joyce","House","D"," Democrat","Ohio"," rank-and-file Democrat",0.333035342989,0.574096451362,"https://projects.propublica.org/represent/members/B001281-joyce-beatty",15,347,"6.0%","2.7%","https://twitter.com/RepBeatty","x1531521632","Joyce Beatty","RepBeatty","Ohio's Third District","Official Twitter account for Congresswoman Joyce Beatty, representing Ohio's Third Congressional District in the U.S. House of Representatives.","https://t.co/ZrsTijMCcM",TRUE,6072,23537,1645,1029,666,"2013-06-19 17:47:09","en","https://t.co/ZrsTijMCcM","http://beatty.house.gov","http://pbs.twimg.com/profile_images/616610538584281088/cvL14fuQ_normal.jpg","https://pbs.twimg.com/profile_banners/1531521632/1462917490","http://abs.twimg.com/images/themes/theme1/bg.png"
412512,"Ami Bera","Bera","","Ami","House","D"," Democrat","Calif."," centrist Democratic follower",0.436953807226,0.2328499482,"https://projects.propublica.org/represent/members/B001287-ami-bera",4,158,"10.2%","0.1%","https://twitter.com/RepBera","x950783972","Ami Bera, M.D.","RepBera","Elk Grove, California","Proudly representing Sacramento County, California in the U.S. House of Representatives","https://t.co/sQPbW1JPOd",TRUE,2971,27215,188,49,804,"2012-11-16 01:39:54","en","https://t.co/sQPbW1JPOd","http://bera.house.gov/","http://pbs.twimg.com/profile_images/722533785481248769/LJz8Qkxj_normal.jpg","https://pbs.twimg.com/profile_banners/950783972/1492277433","http://abs.twimg.com/images/themes/theme1/bg.png"
412709,"Jack Bergman","Bergman","","Jack","House","R"," Republican","Mich."," centrist Republican follower ",0.594953884175,0.199752158264,"https://projects.propublica.org/represent/members/B001301-jack-bergman",6,118,"6.3%","0.0%","https://twitter.com/RepJackBergman","x815241612154417152","Rep. Jack Bergman","RepJackBergman","","Rep. of Michigan's beautiful 1st District, Lt. General, USMC (ret), Yooper, Pilot for Northwest, Proud Grandfather of eight grandchildren.",NA,TRUE,653,3678,352,533,189,"2016-12-31 17:02:01","en",NA,NA,"http://pbs.twimg.com/profile_images/816703874241335297/IP_TEo4R_normal.jpg","https://pbs.twimg.com/profile_banners/815241612154417152/1483551626",NA
412486,"Jaime Herrera Beutler","Herrera Beutler","","Jaime","House","R"," Republican","Wash."," rank-and-file Republican",0.669749283302,0.392540666915,"https://projects.propublica.org/represent/members/H001056-jaime-herrera-beutler",6,104,"9.1%","1.0%","https://twitter.com/HerreraBeutler","x242926427","JaimeHerreraBeutler","HerreraBeutler","","I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the US Congress. Want regular email updates? http://t.co/sZutp93Fhg","http://t.co/g23DlVNdtc",TRUE,697,17177,1108,0,821,"2011-01-25 22:36:44","en","http://t.co/g23DlVNdtc","http://JHB.house.gov","http://pbs.twimg.com/profile_images/510487926900150272/UksS2ekj_normal.jpeg","https://pbs.twimg.com/profile_banners/242926427/1496761529","http://pbs.twimg.com/profile_background_images/778641369/32fdbd80c31cfe58ca60b64e1fe29e3b.jpeg"
