"name","propublica_url","twitter_url"
"Lisa Blunt Rochester","https://projects.propublica.org/represent/members/B001303-lisa-blunt-rochester","http://twitter.com/RepBRochester"
"Suzanne Bonamici","https://projects.propublica.org/represent/members/B001278-suzanne-bonamici","http://twitter.com/RepBonamici"
"Madeleine Z. Bordallo","https://projects.propublica.org/represent/members/B001245-madeleine-z-bordallo",""
"Mike Bost","https://projects.propublica.org/represent/members/B001295-mike-bost","http://twitter.com/RepBost"
"Brendan Boyle","https://projects.propublica.org/represent/members/B001296-brendan-boyle","http://twitter.com/RepBrendanBoyle"
"Robert A. Brady","https://projects.propublica.org/represent/members/B001227-robert-a-brady","http://twitter.com/RepBrady"
"Kevin Brady","https://projects.propublica.org/represent/members/B000755-kevin-brady","http://twitter.com/RepKevinBrady"
"David A. Brat","https://projects.propublica.org/represent/members/B001290-david-a-brat","http://twitter.com/RepDaveBrat"
"Jim Bridenstine","https://projects.propublica.org/represent/members/B001283-jim-bridenstine","http://twitter.com/RepJBridenstine"
"Mo Brooks","https://projects.propublica.org/represent/members/B001274-mo-brooks","http://twitter.com/RepMoBrooks"
"Susan Brooks","https://projects.propublica.org/represent/members/B001284-susan-brooks","http://twitter.com/SusanWBrooks"
"Anthony Brown","https://projects.propublica.org/represent/members/B001304-anthony-brown","http://twitter.com/RepAnthonyBrown"
"Julia Brownley","https://projects.propublica.org/represent/members/B001285-julia-brownley","http://twitter.com/JuliaBrownley26"
"Vern Buchanan","https://projects.propublica.org/represent/members/B001260-vern-buchanan","http://twitter.com/VernBuchanan"
"Ken Buck","https://projects.propublica.org/represent/members/B001297-ken-buck","http://twitter.com/RepKenBuck"
"Larry Bucshon","https://projects.propublica.org/represent/members/B001275-larry-bucshon","http://twitter.com/RepLarryBucshon"
"Ted Budd","https://projects.propublica.org/represent/members/B001305-ted-budd","http://twitter.com/RepTedBudd"
"Michael C. Burgess","https://projects.propublica.org/represent/members/B001248-michael-c-burgess","http://twitter.com/MichaelCBurgess"
"Cheri Bustos","https://projects.propublica.org/represent/members/B001286-cheri-bustos","http://twitter.com/RepCheri"
"G. K. Butterfield","https://projects.propublica.org/represent/members/B001251-g-k-butterfield","http://twitter.com/GKButterfield"
"Bradley Byrne","https://projects.propublica.org/represent/members/B001289-bradley-byrne","http://twitter.com/RepByrne"
"Ken Calvert","https://projects.propublica.org/represent/members/C000059-ken-calvert","http://twitter.com/KenCalvert"
"Michael E. Capuano","https://projects.propublica.org/represent/members/C001037-michael-e-capuano","http://twitter.com/RepMikeCapuano"
"Salud Carbajal","https://projects.propublica.org/represent/members/C001112-salud-carbajal","http://twitter.com/RepCarbajal"
"Tony Cárdenas","https://projects.propublica.org/represent/members/C001097-tony-c%C3%A1rdenas","http://twitter.com/RepCardenas"
"André Carson","https://projects.propublica.org/represent/members/C001072-andr%C3%A9-carson","http://twitter.com/RepAndreCarson"
"Buddy Carter","https://projects.propublica.org/represent/members/C001103-buddy-carter","http://twitter.com/RepBuddyCarter"
"John Carter","https://projects.propublica.org/represent/members/C001051-john-carter","http://twitter.com/JudgeCarter"
"Matt Cartwright","https://projects.propublica.org/represent/members/C001090-matt-cartwright","http://twitter.com/RepCartwright"
"Kathy Castor","https://projects.propublica.org/represent/members/C001066-kathy-castor","http://twitter.com/USRepKCastor"
"Joaquín Castro","https://projects.propublica.org/represent/members/C001091-joaqu%C3%ADn-castro","http://twitter.com/JoaquinCastrotx"
"Steven J. Chabot","https://projects.propublica.org/represent/members/C000266-steven-j-chabot","http://twitter.com/RepSteveChabot"
"Liz Cheney","https://projects.propublica.org/represent/members/C001109-liz-cheney","http://twitter.com/RepLizCheney"
